bangladesh_test	Total	Male	Female
 30-34 	84529.564105	42049.736026	42479.828079
 35-39 	79540.176953	39162.974786	40377.202167
 40-44 	73386.068940	35523.901829	37862.167111
 45-49 	66640.898306	31960.915611	34679.982695
 50-54 	57383.703206	27521.853631	29861.849575
 55-59 	46885.804814	22712.793041	24173.011773
 60-64 	40277.848282	20085.692385	20192.155897
 65-69 	30054.233041	15114.123385	14940.109656
 70-74 	18970.825043	9754.660293	9216.164750
 75-79 	11556.558314	5984.585234	5571.973080
 80+ 	11308.660743	5584.202225	5724.458518
Total	1011608.497084	505244.874204	506363.622880
2031			
 0-4	126700.027013	64793.828702	61906.198311
 5-9	62809.863941	32120.110351	30689.753590
 10-14 	29453.727142	15077.237970	14376.489172
 15-19 	95080.500027	48624.415814	46456.084213
 20-24 	87608.638543	44372.308082	43236.330462
 25-29 	86325.157199	43225.101961	43100.055238
 30-34 	84650.624928	42119.108257	42531.516671
 35-39 	80234.195235	39577.472716	40656.722519
 40-44 	74369.585317	36103.979327	38265.605990
 45-49 	67789.018278	32507.904876	35281.113402
 50-54 	59172.253927	28343.636101	30828.617826
 55-59 	48711.727432	23480.046663	25231.680769
 60-64 	40875.994936	20241.369796	20634.625140
 65-69 	31569.579338	15828.879487	15740.699851
 70-74 	20450.103569	10412.478689	10037.624880
 75-79 	12107.969535	6288.975174	5818.994361
 80+ 	11784.860725	5823.858004	5961.002721
Total	1019693.827085	508940.711970	510753.115115
2032			
 0-4	125565.069095	64216.422706	61348.646388
 5-9	62238.635577	31824.447160	30414.188417
 10-14 	29306.244393	14999.417274	14306.827120
 15-19 	94806.368659	48480.329042	46326.039617
 20-24 	87568.285257	44366.800872	43201.484385
 25-29 	85390.043278	42747.012909	42643.030368
 30-34 	84656.483632	42125.520949	42530.962682
 35-39 	80865.318759	39947.240265	40918.078494
 40-44 	75334.272778	36681.797062	38652.475715
 45-49 	68848.253892	33035.523948	35812.729945
 50-54 	60851.067550	29113.238591	31737.828958
 55-59 	50321.268394	24144.100957	26177.167437
 60-64 	41773.134457	20539.873521	21233.260936
 65-69 	33049.952303	16523.625472	16526.326831
 70-74 	22006.898147	11111.047862	10895.850285
 75-79 	12762.358362	6622.935039	6139.423322
 80+ 	12305.578195	6092.716081	6212.862114
Total	1027649.232727	512572.049712	515077.183015
2033			
 0-4	124480.737639	63664.373673	60816.363966
 5-9	61653.334978	31524.475662	30128.859317
