bangladesh_test	Total	Male	Female
 0-4	94921.090901	48140.324315	46780.766586
 5-9	95418.016984	48569.273013	46848.743971
 10-14 	56054.134848	28774.130169	27280.004679
 15-19 	74669.622903	38434.894939	36234.727964
 20-24 	67555.943677	34909.450941	32646.492735
 25-29 	49679.459287	26057.251875	23622.207411
 30-34 	40706.573019	20976.124815	19730.448204
 35-39 	36750.237319	18821.012706	17929.224613
 40-44 	31756.159429	16685.872473	15070.286956
 45-49 	25535.998620	13621.678969	11914.319651
 50-54 	20777.130749	11008.107303	9769.023446
 55-59 	16996.921439	9037.539836	7959.381603
 60-64 	13425.913688	7224.587361	6201.326327
 65-69 	10013.883875	5461.764754	4552.119121
 70-74 	6893.591100	3851.192183	3042.398916
 75-79 	4131.590533	2289.994510	1841.596023
 80+ 	2658.435993	1453.183737	1205.252256
Total	647944.704363	335316.383901	312628.320462
1981			
 0-4	97537.754082	49491.052496	48046.701586
 5-9	99005.311125	50400.489577	48604.821548
 10-14 	57122.839094	29259.914373	27862.924720
 15-19 	77384.731470	39869.082480	37515.648990
 20-24 	71647.436885	37006.577790	34640.859095
 25-29 	51830.428191	27300.570721	24529.857470
 30-34 	41475.786234	21563.785588	19912.000646
 35-39 	37132.435247	19014.388570	18118.046677
 40-44 	32541.535847	17035.381046	15506.154801
 45-49 	26141.592118	13975.148995	12166.443122
 50-54 	21180.468994	11267.457489	9913.011505
 55-59 	17309.105574	9206.903540	8102.202035
 60-64 	13724.683919	7382.908209	6341.775710
 65-69 	10241.961844	5579.609984	4662.351861
 70-74 	7095.279783	3950.988523	3144.291260
 75-79 	4289.848507	2390.899979	1898.948528
 80+ 	2826.824049	1548.594382	1278.229668
Total	668488.022963	346243.753742	322244.269221
1982			
 0-4	100129.394489	50827.332395	49302.062094
 5-9	102154.471375	52002.054834	50152.416541
 10-14 	58504.715155	29912.283781	28592.431374
 15-19 	80231.329105	41364.593947	38866.735158
 20-24 	75668.778189	39090.900550	36577.877640
 25-29 	54640.100847	28859.196727	25780.904120
 30-34 	42497.581491	22352.261170	20145.320321
 35-39 	37516.268440	19265.474042	18250.794398
