Incidence per 1000 by age and sex			
	Workshop_1_Demo		
 	Total	Male	Female
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.396374	0.905359	1.885715
 20-24 	3.644768	2.958016	4.321413
 25-29 	4.098470	3.761236	4.432914
 30-34 	3.745818	3.728161	3.763248
 35-39 	3.129220	3.223626	3.035544
 40-44 	2.488960	2.534843	2.443438
 45-49 	1.907447	1.863559	1.949973
 50-54 	1.427244	1.356045	1.493696
 55-59 	1.063666	1.063688	1.063646
 60-64 	0.853005	0.973551	0.745497
 65-69 	0.796490	0.993483	0.644008
 70-74 	0.844663	0.964012	0.767324
 75-79 	0.348677	0.650830	0.185711
 80+ 	0.000000	0.000000	0.000000
Total	1.681404	1.549112	1.810608
1992			
 0-4	1.052754	1.058492	1.046925
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	2.558498	1.622327	3.493084
 20-24 	6.668652	5.301087	8.017110
 25-29 	7.488026	6.745477	8.222588
 30-34 	6.831962	6.686249	6.975273
 35-39 	5.699618	5.778092	5.622386
 40-44 	4.533919	4.542752	4.525218
 45-49 	3.474465	3.336185	3.608461
 50-54 	2.601408	2.427833	2.763688
 55-59 	1.936729	1.903626	1.966867
 60-64 	1.549771	1.742251	1.378687
 65-69 	1.449587	1.777896	1.190448
 70-74 	1.538968	1.724893	1.417496
 75-79 	0.632528	1.164879	0.344113
 80+ 	0.000000	0.000000	0.000000
Total	3.097631	2.804872	3.383227
1993			
 0-4	1.896970	1.907190	1.886586
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	4.260793	2.655155	5.868659
 20-24 	11.111527	8.691015	13.511680
 25-29 	12.474167	11.073202	13.862413
 30-34 	11.365881	10.976426	11.748822
 35-39 	9.468890	9.478809	9.459210
 40-44 	7.527816	7.445756	7.607660
 45-49 	5.770512	5.464811	6.064473
 50-54 	4.319737	3.974270	4.641353
 55-59 	3.213601	3.115708	3.301835
 60-64 	2.565171	2.851077	2.313555
 65-69 	2.403108	2.909513	1.997016
 70-74 	2.555038	2.822865	2.378390
 75-79 	1.043177	1.904682	0.575181
 80+ 	0.000000	0.000000	0.000000
Total	5.192298	4.641712	5.728799
1994			
 0-4	3.118432	3.134842	3.101754
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	6.415201	3.925035	8.919999
 20-24 	16.752047	12.888737	20.633197
 25-29 	18.813131	16.445471	21.180756
 30-34 	17.120907	16.301779	17.931033
 35-39 	14.241639	14.064706	14.412946
 40-44 	11.312432	11.033222	11.579268
 45-49 	8.680516	8.096939	9.231476
 50-54 	6.492900	5.880189	7.055585
 55-59 	4.826708	4.610559	5.018430
 60-64 	3.840326	4.217585	3.513655
 65-69 	3.600306	4.304319	3.031890
 70-74 	3.839029	4.177030	3.613857
 75-79 	1.552665	2.812242	0.865974
 80+ 	0.000000	0.000000	0.000000
Total	7.858968	6.938924	8.754729
1995			
 0-4	4.676612	4.701678	4.651142
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	8.732239	5.268499	12.233703
 20-24 	22.848689	17.378562	28.453318
 25-29 	25.681693	22.195492	29.223628
 30-34 	23.352563	21.997805	24.710506
 35-39 	19.399570	18.959139	19.824265
 40-44 	15.397114	14.851032	15.909693
 45-49 	11.830439	10.901035	12.687459
 50-54 	8.838198	7.902220	9.680571
 55-59 	6.565319	6.197619	6.884994
 60-64 	5.206804	5.667290	4.816223
 65-69 	4.880687	5.784259	4.154046
 70-74 	5.222216	5.615095	4.957345
 75-79 	2.097117	3.770621	1.176779
 80+ 	0.000000	0.000000	0.000000
Total	10.742438	9.412617	12.037205
1996			
 0-4	6.436535	6.471743	6.400768
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	10.770374	6.409940	15.201686
 20-24 	28.215676	21.213843	35.533184
 25-29 	31.710851	27.120420	36.510993
 30-34 	28.837934	26.880504	30.841699
 35-39 	23.935658	23.145262	24.697399
 40-44 	18.989091	18.105988	19.802651
 45-49 	14.612436	13.293832	15.795529
 50-54 	10.906657	9.621512	12.034813
 55-59 	8.094692	7.548071	8.559237
 60-64 	6.398397	6.900175	5.982815
 65-69 	5.991864	7.042904	5.157254
 70-74 	6.437673	6.839396	6.163704
