South_Africa	Total	Male	Female
Total	762518.597758	389598.882888	372919.714870
2049			
 0-4	30483.356086	16237.939642	14245.416444
 5-9	2710.426911	1371.164051	1339.262860
 10-14 	2406.497706	1216.417418	1190.080287
 15-19 	5216.197475	2552.186249	2664.011226
 20-24 	7334.351283	3312.702970	4021.648313
 25-29 	12431.303508	5034.188224	7397.115284
 30-34 	17152.561085	7516.968903	9635.592182
 35-39 	26933.586337	12412.312470	14521.273867
 40-44 	30390.708115	15448.605975	14942.102140
 45-49 	35535.657056	19444.480368	16091.176688
 50-54 	40463.388963	24199.329428	16264.059534
 55-59 	52762.216820	32530.635558	20231.581262
 60-64 	74842.611021	47207.041021	27635.570000
 65-69 	91464.935741	56107.063878	35357.871863
 70-74 	90556.247689	52386.975422	38169.272267
 75-79 	79240.059877	41705.000210	37535.059667
 80+ 	170596.724878	56448.782745	114147.942133
Total	770520.830551	395131.794533	375389.036018
2050			
 0-4	30530.611549	16260.308567	14270.302982
 5-9	2694.833160	1363.509610	1331.323550
 10-14 	2283.399613	1153.268442	1130.131171
 15-19 	5151.497205	2522.237868	2629.259337
 20-24 	7217.124202	3258.576545	3958.547657
 25-29 	12262.024038	4976.789417	7285.234621
 30-34 	16897.352087	7422.055855	9475.296232
 35-39 	26391.127415	12183.288369	14207.839047
 40-44 	29988.255535	15294.031058	14694.224477
 45-49 	35629.074795	19554.384885	16074.689910
 50-54 	40652.617159	24378.646439	16273.970720
 55-59 	52160.835267	32275.706454	19885.128813
 60-64 	74342.048861	47002.823937	27339.224924
 65-69 	93354.203028	57306.911313	36047.291715
 70-74 	94310.951208	54535.586520	39775.364688
 75-79 	81924.119092	43217.615509	38706.503583
 80+ 	173152.571019	58161.201916	114991.369103
Total	778942.645233	400866.942704	378075.702529
