Vietnam_test	Total	Male	Female
 60-64 	1760545.999197	781751.152695	978794.846503
 65-69 	1755806.876456	755488.701442	1000318.175014
 70-74 	1401226.648926	569092.726861	832133.922065
 75-79 	1014066.837427	378689.735701	635377.101726
 80+ 	1137258.765093	356362.734062	780896.031031
Total	80104562.663014	39463967.191688	40640595.471327
2002			
 0-4	6728616.446840	3464549.285762	3264067.161077
 5-9	7680692.983926	3942105.159997	3738587.823928
 10-14 	9062782.316235	4629711.531516	4433070.784719
 15-19 	8582459.382328	4360619.677637	4221839.704691
 20-24 	7697991.543074	3885930.633991	3812060.909083
 25-29 	7026819.010840	3513392.912787	3513426.098053
 30-34 	6519386.101189	3246462.509335	3272923.591854
 35-39 	6021053.651145	2992881.863197	3028171.787948
 40-44 	5347631.792423	2635675.893142	2711955.899282
 45-49 	4290856.949594	2095179.536819	2195677.412775
 50-54 	2861189.021357	1355132.996961	1506056.024396
 55-59 	1932771.152525	870476.886985	1062294.265540
 60-64 	1740073.463391	769960.414776	970113.048615
