Vietnam	Total	Male	Female
 60-64 	51959.253206	34354.111071	17605.142134
 65-69 	63927.961080	40071.421180	23856.539900
 70-74 	59948.615311	34660.046394	25288.568918
 75-79 	49272.893840	25016.556066	24256.337774
 80+ 	196693.942001	70626.048739	126067.893261
Total	615617.100453	338991.054377	276626.046077
2024			
 0-4	19411.220600	9693.723681	9717.496919
 5-9	2704.555854	1681.590293	1022.965561
 10-14 	2417.153038	1588.104746	829.048292
 15-19 	5255.507496	3076.775134	2178.732362
 20-24 	7397.688223	4768.718520	2628.969703
 25-29 	9623.664720	6708.754518	2914.910201
 30-34 	13603.859558	9929.273346	3674.586212
 35-39 	16678.832531	12468.248359	4210.584172
 40-44 	19193.862299	14197.190552	4996.671747
 45-49 	23031.710235	16996.798833	6034.911402
