Vietnam_test	Total	Male	Female
 40-44 	57010.535837	28406.317992	28604.217845
 45-49 	49433.943916	24307.398902	25126.545014
 50-54 	43528.491181	21112.928358	22415.562823
 55-59 	39415.582184	18929.660595	20485.921589
 60-64 	35158.847258	16633.744551	18525.102707
 65-69 	29821.785454	13589.646540	16232.138914
 70-74 	22332.543129	9596.996576	12735.546552
 75-79 	13147.348013	5172.098703	7975.249311
 80+ 	13726.773235	4202.664320	9524.108916
Total	672975.667536	332068.226843	340907.440692
2029			
 0-4	34481.007268	17701.903484	16779.103784
 5-9	40870.971505	21102.311415	19768.660090
 10-14 	28327.879208	14720.912736	13606.966473
 15-19 	47527.829597	24869.557028	22658.272568
 20-24 	54569.723868	28464.325630	26105.398238
 25-29 	50433.748854	25912.499336	24521.249518
 30-34 	49766.494622	25360.422207	24406.072415
 35-39 	59205.161538	29909.038182	29296.123356
 40-44 	58151.529768	29019.539463	29131.990304
 45-49 	50723.450232	24980.809445	25742.640787
 50-54 	44242.464768	21461.871078	22780.593690
 55-59 	40049.648652	19217.792409	20831.856243
 60-64 	35669.096920	16877.256235	18791.840685
 65-69 	30595.832187	13995.782053	16600.050134
 70-74 	23503.364736	10141.279172	13362.085564
 75-79 	14473.104860	5756.187756	8716.917105
 80+ 	14311.501933	4424.460612	9887.041322
Total	676902.810516	333915.948242	342986.862274
2030			
 0-4	34242.049066	17569.062409	16672.986657
 5-9	40236.606784	20741.066751	19495.540034
 10-14 	27821.630865	14438.086101	13383.544764
 15-19 	47193.286476	24676.507817	22516.778660
 20-24 	54747.523257	28587.548556	26159.974702
 25-29 	51006.137671	26269.796619	24736.341052
 30-34 	48620.705069	24787.963789	23832.741280
 35-39 	57046.765907	28860.341444	28186.424463
 40-44 	59119.131257	29551.860068	29567.271189
 45-49 	52033.911873	25666.795691	26367.116182
 50-54 	45090.236041	21886.324344	23203.911697
 55-59 	40569.515053	19442.284646	21127.230407
 60-64 	36251.764484	17156.267990	19095.496494
 65-69 	31319.725968	14377.712870	16942.013098
 70-74 	24569.381970	10646.065608	13923.316362
 75-79 	15807.898689	6342.757979	9465.140710
 80+ 	15064.280717	4717.152100	10347.128617
Total	680740.551147	335717.594780	345022.956367
2031			
 0-4	34069.011040	17474.754760	16594.256280
 5-9	39684.072562	20425.435497	19258.637064
 10-14 	27305.797088	14151.637241	13154.159847
 15-19 	46781.482786	24434.018990	22347.463795
 20-24 	54755.788457	28610.580542	26145.207916
 25-29 	51639.393201	26667.969953	24971.423247
 30-34 	47967.559936	24464.203158	23503.356778
 35-39 	54532.744603	27625.553423	26907.191180
 40-44 	59783.542430	29937.276077	29846.266353
 45-49 	53324.125765	26343.207441	26980.918324
 50-54 	46065.731963	22383.458674	23682.273289
 55-59 	41156.106855	19711.567379	21444.539475
 60-64 	36794.022581	17402.079249	19391.943332
 65-69 	31982.321442	14722.772306	17259.549136
 70-74 	25535.474720	11116.309331	14419.165390
 75-79 	17075.442405	6896.613512	10178.828893
 80+ 	16011.660462	5092.627129	10919.033333
Total	684464.278294	337460.064661	347004.213633
2032			
 0-4	33949.081037	17411.201120	16537.879918
 5-9	39220.667712	20161.545442	19059.122270
 10-14 	26799.674320	13869.916378	12929.757942
 15-19 	46278.368439	24137.711184	22140.657255
 20-24 	54630.461248	28550.689200	26079.772048
 25-29 	52240.029820	27047.430250	25192.599570
 30-34 	47772.428471	24381.424555	23391.003916
 35-39 	52040.343600	26394.703305	25645.640294
 40-44 	59847.591380	30022.956207	29824.635173
 45-49 	54575.879638	27002.385686	27573.493952
 50-54 	47175.133882	22955.198332	24219.935550
 55-59 	41732.472904	19978.180053	21754.292850
 60-64 	37351.866760	17652.634468	19699.232292
 65-69 	32614.249293	15047.157972	17567.091321
 70-74 	26412.493844	11553.844998	14858.648846
 75-79 	18273.772694	7421.030048	10852.742646
 80+ 	17120.622588	5534.863561	11585.759027
Total	688035.137630	339122.872760	348912.264869
2033			
 0-4	33863.816043	17367.741204	16496.074838
 5-9	38846.432020	19949.859459	18896.572561
 10-14 	26317.254032	13599.470546	12717.783485
 15-19 	45684.587653	23791.470294	21893.117359
 20-24 	54390.973740	28417.641696	25973.332044
 25-29 	52734.306518	27364.126544	25370.179973
 30-34 	47967.878875	24511.843228	23456.035647
 35-39 	49813.650764	25290.011056	24523.639708
 40-44 	59149.458797	29724.783245	29424.675552
 45-49 	55783.548285	27643.235149	28140.313136
 50-54 	48388.257338	23584.571032	24803.686306
 55-59 	42345.292060	20269.947815	22075.344245
 60-64 	37932.141690	17911.099656	20021.042034
 65-69 	33194.381924	15338.752893	17855.629031
 70-74 	27207.142789	11958.439961	15248.702829
 75-79 	19397.659533	7917.016146	11480.643387
 80+ 	18367.068318	6032.211067	12334.857252
Total	691383.850379	340672.220992	350711.629387
2034			
 0-4	33796.108798	17333.379788	16462.729010
 5-9	38549.529777	19784.808368	18764.721409
 10-14 	25873.040477	13348.156239	12524.884239
 15-19 	44993.989127	23395.033666	21598.955461
 20-24 	54054.986550	28226.070101	25828.916449
 25-29 	53061.775122	27580.513669	25481.261452
 30-34 	48357.489053	24757.074220	23600.414834
 35-39 	48098.834731	24437.637129	23661.197602
 40-44 	57704.508121	29047.470350	28657.037770
 45-49 	56898.103610	28242.260077	28655.843533
 50-54 	49646.984637	24240.604386	25406.380252
 55-59 	43043.485531	20611.976364	22431.509167
 60-64 	38554.164310	18194.750500	20359.413810
 65-69 	33694.853506	15578.070081	18116.783425
 70-74 	27937.352784	12335.178166	15602.174618
 75-79 	20436.332068	8382.477635	12053.854432
 80+ 	19728.677745	6574.403954	13154.273790
Total	694430.215948	342069.864693	352360.351255
2035			
 0-4	33732.774474	17301.198337	16431.576137
 5-9	38318.654200	19659.572708	18659.081492
 10-14 	25476.261241	13122.147135	12354.114107
 15-19 	44223.392656	22959.766125	21263.626531
 20-24 	53625.087359	27975.975868	25649.111491
 25-29 	53199.586890	27682.043573	25517.543317
 30-34 	48878.768077	25085.902947	23792.865129
 35-39 	46958.860547	23871.665227	23087.195320
 40-44 	55588.049556	28026.113967	27561.935589
 45-49 	57831.536109	28756.865023	29074.671086
 50-54 	50915.743474	24903.731690	26012.011784
 55-59 	43861.970876	21021.914709	22840.056167
 60-64 	39058.031186	18414.143740	20643.887446
 65-69 	34257.377616	15847.522894	18409.854722
 70-74 	28616.685154	12688.437552	15928.247602
 75-79 	21381.289590	8814.894696	12566.394894
 80+ 	21190.213614	7155.306924	14034.906690
Total	697114.282618	343287.203115	353827.079503
2036			
 0-4	33665.729758	17267.008734	16398.721024
 5-9	38137.466400	19563.335598	18574.130802
 10-14 	25129.382273	12925.291265	12204.091007
 15-19 	43397.454817	22498.765896	20898.688921
 20-24 	53082.454175	27658.475640	25423.978535
 25-29 	53161.670740	27680.780193	25480.890547
 30-34 	49447.202696	25447.953003	23999.249693
 35-39 	46284.242160	23539.447454	22744.794706
 40-44 	53108.985544	26815.912627	26293.072917
 45-49 	58454.482429	29121.571286	29332.911143
 50-54 	52151.977099	25551.327553	26600.649546
 55-59 	44793.043818	21496.199259	23296.844559
 60-64 	39614.717443	18670.509521	20944.207922
 65-69 	34772.666992	16081.660202	18691.006790
 70-74 	29232.549487	13005.439106	16227.110381
 75-79 	22234.282051	9217.114792	13017.167259
 80+ 	22719.600255	7760.977789	14958.622466
Total	699387.908138	344301.769917	355086.138221
2037			
 0-4	33588.099654	17227.272336	16360.827318
 5-9	37988.691983	19486.241825	18502.450158
 10-14 	24834.319242	12759.897220	12074.422022
 15-19 	42546.422024	22027.221227	20519.200797
 20-24 	52414.615490	27271.288406	25143.327084
 25-29 	52982.542037	27593.211652	25389.330385
 30-34 	49972.124626	25785.707260	24186.417367
 35-39 	46041.194154	23433.433965	22607.760189
 40-44 	50635.102197	25601.249301	25033.852896
 45-49 	58475.640865	29187.312443	29288.328422
 50-54 	53336.332101	26175.197440	27161.134661
 55-59 	45841.265518	22035.943785	23805.321733
 60-64 	40150.237183	18918.992612	21231.244571
 65-69 	35293.111715	16315.727864	18977.383850
 70-74 	29812.588387	13300.504018	16512.084369
 75-79 	23003.883701	9590.076336	13413.807365
 80+ 	24291.648704	8383.291419	15908.357285
Total	701207.819581	345092.569107	356115.250474
2038			
 0-4	33491.856936	17177.873594	16313.983342
 5-9	37856.980269	19419.452172	18437.528097
 10-14 	24589.621805	12624.503238	11965.118567
