Vietnam	Total	Male	Female																																																																																																																																																																																																																																																							
1970																																																																																																																																																																																																																																																										
 40-44 	463.752780	379.948010	83.804770
 45-49 	317.096514	263.333179	53.763335
 50-54 	157.994435	130.367420	27.627015
 55-59 	61.012368	50.409406	10.602962
 60-64 	15.828696	13.460429	2.368267
 65-69 	2.698217	2.374672	0.323545
 70-74 	0.473257	0.440530	0.032727
 75-79 	0.102189	0.093866	0.008322
 80+ 	0.046534	0.041249	0.005285
Total	3597.586588	2746.572834	851.013754
2013			
 0-4	5.979053	3.094680	2.884374
 5-9	7.739733	3.984960	3.754773
 10-14 	8.994613	4.621278	4.373335
 15-19 	83.965104	56.254099	27.711005
 20-24 	390.750025	278.385085	112.364940
 25-29 	652.120243	477.984613	174.135630
 30-34 	682.798743	516.120795	166.677948
 35-39 	579.304601	461.881638	117.422963
 40-44 	442.672375	365.142354	77.530021
 45-49 	303.948522	254.783304	49.165219
 50-54 	154.108984	128.482522	25.626462
 55-59 	62.071181	51.730755	10.340426
 60-64 	17.287808	14.759933	2.527875
 65-69 	2.951412	2.577695	0.373718
 70-74 	0.525417	0.484872	0.040545
 75-79 	0.105748	0.097656	0.008092
 80+ 	0.045157	0.040297	0.004860
Total	3395.368722	2620.426536	774.942186
2014			
 0-4	5.606049	2.898127	2.707923
 5-9	6.310701	3.238650	3.072051
 10-14 	8.900801	4.587970	4.312831
 15-19 	76.538221	49.642687	26.895534
 20-24 	348.554968	235.098456	113.456512
 25-29 	591.770233	402.089945	189.680288
 30-34 	639.803191	440.874274	198.928917
 35-39 	535.786000	390.386306	145.399694
 40-44 	398.238543	302.353056	95.885487
 45-49 	266.321057	202.536650	63.784406
 50-54 	135.595056	100.935735	34.659321
 55-59 	56.566553	41.562046	15.004507
 60-64 	16.552872	12.374433	4.178438
 65-69 	2.844216	2.147211	0.697006
 70-74 	0.479380	0.396816	0.082564
 75-79 	0.094682	0.082985	0.011697
 80+ 	0.037350	0.030637	0.006713
Total	3089.999873	2191.235984	898.763890
2015			
 0-4	6.330346	3.272479	3.057867
 5-9	5.597348	2.869851	2.727498
 10-14 	8.812649	4.542405	4.270245
 15-19 	70.850089	46.077022	24.773067
 20-24 	314.114405	214.328616	99.785788
 25-29 	552.316169	384.397095	167.919073
 30-34 	618.824002	438.121909	180.702093
 35-39 	528.488666	392.280738	136.207927
 40-44 	390.462963	301.914434	88.548529
 45-49 	264.818536	207.262253	57.556283
 50-54 	137.129926	106.306010	30.823916
 55-59 	59.045536	45.496597	13.548940
 60-64 	18.525367	14.568270	3.957097
 65-69 	3.357305	2.653174	0.704131
 70-74 	0.560972	0.474373	0.086599
 75-79 	0.108658	0.096987	0.011671
 80+ 	0.038643	0.032844	0.005799
Total	2979.381580	2164.695057	814.686523
2016			
 0-4	5.898533	3.053800	2.844732
 5-9	5.076694	2.544220	2.532474
 10-14 	8.575827	4.404438	4.171389
 15-19 	67.006035	43.477523	23.528512
 20-24 	284.066638	194.332929	89.733709
 25-29 	518.917658	363.665464	155.252194
 30-34 	598.562775	426.377020	172.185755
 35-39 	523.067521	388.010925	135.056596
 40-44 	383.259797	296.015140	87.244657
 45-49 	260.564008	204.340396	56.223611
 50-54 	136.296011	106.208521	30.087490
 55-59 	60.239745	46.662740	13.577005
 60-64 	19.996237	15.756331	4.239906
 65-69 	3.895240	3.062151	0.833089
 70-74 	0.629652	0.521338	0.108314
 75-79 	0.121602	0.107883	0.013720
 80+ 	0.038665	0.033051	0.005614
Total	2876.212640	2098.573871	777.638769
2017			
 0-4	5.516843	2.857176	2.659667
 5-9	5.576510	2.828422	2.748087
 10-14 	8.071857	4.143670	3.928187
 15-19 	64.518106	41.719461	22.798646
 20-24 	257.572142	176.470358	81.101784
 25-29 	484.661327	341.395575	143.265752
 30-34 	573.430107	411.158536	162.271571
 35-39 	513.858284	381.149717	132.708567
 40-44 	373.176053	287.783833	85.392221
 45-49 	253.213243	198.660027	54.553215
 50-54 	133.120386	104.131653	28.988733
 55-59 	60.034599	46.745967	13.288632
 60-64 	20.884219	16.504617	4.379602
 65-69 	4.383878	3.440341	0.943537
 70-74 	0.696828	0.566456	0.130372
 75-79 	0.134523	0.118179	0.016343
 80+ 	0.038301	0.032920	0.005382
Total	2758.887206	2019.706908	739.180298
2018			
 0-4	5.158412	2.669559	2.488853
 5-9	5.580675	2.845507	2.735169
 10-14 	7.445800	3.821518	3.624282
 15-19 	63.255048	40.751962	22.503086
 20-24 	235.843027	161.648906	74.194120
 25-29 	450.699645	318.727532	131.972113
 30-34 	547.916504	395.471176	152.445328
 35-39 	503.214012	373.564253	129.649759
 40-44 	363.118172	279.488217	83.629955
 45-49 	245.244249	192.248211	52.996038
 50-54 	129.050551	101.166388	27.884163
 55-59 	59.167178	46.268479	12.898700
 60-64 	21.421655	16.975158	4.446496
 65-69 	4.836889	3.792237	1.044652
 70-74 	0.773729	0.618664	0.155065
 75-79 	0.147070	0.127411	0.019659
 80+ 	0.038271	0.033036	0.005235
Total	2642.910887	1940.218215	702.692672
2019			
 0-4	4.709032	2.433308	2.275725
 5-9	5.379215	2.746654	2.632561
 10-14 	6.444913	3.301908	3.143005
 15-19 	62.292917	40.022975	22.269942
 20-24 	219.051421	150.075308	68.976114
 25-29 	416.956304	295.797520	121.158784
 30-34 	522.881247	379.829211	143.052036
 35-39 	490.877621	365.234157	125.643464
 40-44 	353.595315	271.634930	81.960385
 45-49 	237.123671	185.642802	51.480869
 50-54 	124.252637	97.482705	26.769932
 55-59 	57.808896	45.379750	12.429147
 60-64 	21.624612	17.188100	4.436513
 65-69 	5.224883	4.096273	1.128610
 70-74 	0.861686	0.680063	0.181623
 75-79 	0.158677	0.135154	0.023523
 80+ 	0.038664	0.033467	0.005196
Total	2529.281711	1861.714283	667.567428
2020			
 0-4	4.208571	2.170108	2.038463
 5-9	5.323656	2.720627	2.603028
 10-14 	5.706474	2.919142	2.787332
 15-19 	61.343097	39.384330	21.958767
 20-24 	206.524598	141.294233	65.230365
 25-29 	382.490437	272.021986	110.468452
 30-34 	497.618583	363.610211	134.008372
 35-39 	475.693197	355.187083	120.506114
 40-44 	343.875996	263.745645	80.130350
 45-49 	227.577098	177.847483	49.729615
 50-54 	119.379427	93.683304	25.696123
 55-59 	55.963170	44.083672	11.879498
 60-64 	21.470296	17.124604	4.345692
 65-69 	5.514668	4.326566	1.188103
 70-74 	0.955716	0.747431	0.208285
 75-79 	0.169202	0.141440	0.027762
 80+ 	0.039348	0.034069	0.005279
Total	2413.853533	1781.041934	632.811599
2021			
 0-4	4.060629	2.089975	1.970655
 5-9	5.158861	2.639403	2.519458
 10-14 	5.007984	2.556297	2.451687
 15-19 	61.915064	39.680676	22.234388
 20-24 	204.616977	139.349640	65.267337
 25-29 	366.357404	260.270008	106.087396
 30-34 	500.131904	366.067670	134.064234
 35-39 	489.417205	365.929333	123.487872
 40-44 	359.279841	274.499453	84.780388
 45-49 	238.769329	185.777934	52.991395
 50-54 	126.084046	98.621745	27.462301
 55-59 	59.652310	46.961677	12.690634
 60-64 	23.564664	18.799930	4.764734
 65-69 	6.440302	5.042461	1.397841
 70-74 	1.208289	0.936321	0.271968
 75-79 	0.202522	0.165166	0.037356
 80+ 	0.045776	0.039414	0.006362
Total	2451.913108	1809.427104	642.486003
2022			
 0-4	3.974958	2.043967	1.930990
 5-9	4.975923	2.548752	2.427171
 10-14 	5.088886	2.592691	2.496195
 15-19 	62.416096	40.017659	22.398437
 20-24 	204.763559	138.880851	65.882708
 25-29 	349.231061	247.873391	101.357670
 30-34 	495.402959	363.314038	132.088921
 35-39 	496.437810	372.287745	124.150065
 40-44 	370.602178	282.589572	88.012606
 45-49 	245.278197	190.191759	55.086437
 50-54 	129.756874	101.221533	28.535341
 55-59 	61.613041	48.508684	13.104357
 60-64 	24.818614	19.838253	4.980361
 65-69 	7.105701	5.563330	1.542370
 70-74 	1.441053	1.111425	0.329629
 75-79 	0.234466	0.187164	0.047302
 80+ 	0.051573	0.044024	0.007549
Total	2463.192945	1818.814837	644.378108
2023			
 0-4	3.691339	1.897061	1.794278
 5-9	4.800922	2.460131	2.340790
 10-14 	5.027253	2.560974	2.466279
 15-19 	62.685234	40.306606	22.378628
 20-24 	207.493628	140.244650	67.248978
 25-29 	335.260273	237.590153	97.670120
 30-34 	487.446093	358.019225	129.426868
 35-39 	503.082018	378.537397	124.544622
 40-44 	382.398716	291.346986	91.051730
 45-49 	252.030787	194.816969	57.213819
 50-54 	133.403046	103.777903	29.625142
 55-59 	63.389198	49.890885	13.498313
 60-64 	25.941798	20.781815	5.159982
