Vietnam_test	Total	Male	Female
 65-69 	23314.462622	10791.713574	12522.749047
 70-74 	19817.551484	8870.922900	10946.628584
 75-79 	15931.208100	6817.140178	9114.067921
 80+ 	20737.885408	7518.727957	13219.157451
Total	421783.858851	207752.388321	214031.470530
2047			
 0-4	33550.142458	17201.551939	16348.590519
 5-9	17219.609534	8832.813809	8386.795725
 10-14 	8302.294713	4259.901353	4042.393361
 15-19 	26633.816878	13657.572727	12976.244151
 20-24 	26109.844937	13419.500214	12690.344722
 25-29 	27178.861422	14050.797995	13128.063428
 30-34 	28341.515405	14755.453375	13586.062031
 35-39 	28446.084876	14828.777360	13617.307516
 40-44 	26843.030474	13820.505832	13022.524642
 45-49 	25530.961041	12973.295714	12557.665327
 50-54 	29976.477427	15003.835203	14972.642225
 55-59 	32176.463522	15764.381546	16412.081976
 60-64 	28435.787127	13602.991303	14832.795824
 65-69 	23745.868091	11010.096938	12735.771153
 70-74 	20063.390863	8981.054463	11082.336400
 75-79 	16139.563321	6910.987343	9228.575979
 80+ 	21497.701111	7827.495312	13670.205800
Total	420191.413202	206901.012425	213290.400777
2048			
 0-4	33175.365987	17008.992431	16166.373557
 5-9	17084.764880	8763.474789	8321.290090
 10-14 	8256.223273	4236.261857	4019.961415
 15-19 	26436.736441	13557.544523	12879.191918
 20-24 	25676.703704	13178.429019	12498.274685
 25-29 	26549.116815	13708.281238	12840.835577
 30-34 	27921.336516	14515.571661	13405.764855
 35-39 	28244.836587	14726.134586	13518.702001
 40-44 	27084.047590	13989.704665	13094.342926
 45-49 	25372.718841	12900.837192	12471.881649
 50-54 	28322.338780	14198.719635	14123.619144
 55-59 	32243.421550	15833.496464	16409.925086
 60-64 	28993.438729	13897.869917	15095.568812
 65-69 	24247.920855	11266.656461	12981.264394
 70-74 	20287.769296	9084.094752	11203.674543
 75-79 	16366.808451	7010.937066	9355.871385
 80+ 	22238.108753	8127.175125	14110.933628
Total	418501.657047	206004.181381	212497.475667
2049			
