SouthAfricaIC2	Total	Male	Female																																																																																																																																																																																																																																																							
1970																																																																																																																																																																																																																																																										
 55-59 	200406.970915	75651.921829	124755.049086
 60-64 	116290.484923	43370.750627	72919.734297
 65-69 	68590.420229	26538.785084	42051.635146
 70-74 	40744.862265	15440.798474	25304.063790
 75-79 	20000.862828	7819.975949	12180.886879
 80+ 	7224.009950	2769.099261	4454.910689
Total	6026692.393239	2520818.127890	3505874.265349
2012			
 0-4	83175.107904	41975.057227	41200.050677
 5-9	77171.531525	38883.210447	38288.321078
 10-14 	62960.757991	31722.185854	31238.572137
 15-19 	151171.474753	53552.085134	97619.389618
 20-24 	510001.980046	177112.242934	332889.737112
 25-29 	975303.014547	376066.866466	599236.148082
 30-34 	1200278.688070	498698.371666	701580.316404
 35-39 	1060830.132567	470506.719047	590323.413520
 40-44 	752982.674527	346903.525883	406079.148645
 45-49 	505459.651127	227830.750898	277628.900229
 50-54 	339460.846258	138412.404394	201048.441864
 55-59 	220375.208247	82575.385895	137799.822352
 60-64 	128930.371356	47418.135723	81512.235633
 65-69 	75023.650540	28369.303383	46654.347157
 70-74 	44871.572422	16640.252922	28231.319500
 75-79 	21838.463484	8294.106816	13544.356668
 80+ 	8313.328239	3101.879977	5211.448262
Total	6218148.453604	2588062.484665	3630085.968939
2013			
 0-4	73657.339082	37162.960061	36494.379022
 5-9	73322.204504	36935.112748	36387.091756
 10-14 	63181.280927	31825.271935	31356.008992
 15-19 	151496.910529	54975.790992	96521.119538
 20-24 	490337.805928	170225.608459	320112.197469
 25-29 	958916.340293	367839.147979	591077.192313
 30-34 	1222222.000824	504053.337244	718168.663580
 35-39 	1125549.057015	492435.765938	633113.291077
 40-44 	815387.646276	371878.750327	443508.895949
 45-49 	550456.106182	247936.119296	302519.986886
 50-54 	367577.403352	151152.956163	216424.447189
 55-59 	243710.109315	91120.960744	152589.148571
 60-64 	144271.041679	52525.061423	91745.980256
 65-69 	82862.885839	30719.954273	52142.931566
 70-74 	49768.944402	18125.512205	31643.432197
 75-79 	24117.242798	8890.596405	15226.646393
 80+ 	9606.288675	3494.226475	6112.062200
Total	6446440.607621	2671297.132666	3775143.474954
2014			
 0-4	64595.995255	32573.996307	32021.998948
 5-9	69198.617630	34847.738199	34350.879432
 10-14 	62852.134666	31651.896519	31200.238148
 15-19 	150073.380625	55718.678388	94354.702237
 20-24 	468448.805284	162616.925726	305831.879558
 25-29 	932299.325082	355362.744887	576936.580195
 30-34 	1231723.961906	504258.630109	727465.331797
 35-39 	1182022.055503	510421.993740	671600.061762
 40-44 	879125.309890	396805.664839	482319.645051
 45-49 	595107.198128	266761.164334	328346.033794
 50-54 	396109.441997	164253.983166	231855.458831
 55-59 	266312.552242	99522.335024	166790.217219
 60-64 	160211.050287	57713.692899	102497.357387
 65-69 	91274.986300	33159.540686	58115.445614
 70-74 	54678.679586	19542.352760	35136.326826
 75-79 	26612.935420	9502.573218	17110.362202
 80+ 	10993.051134	3892.300308	7100.750826
Total	6641639.480935	2738606.211109	3903033.269826
2015			
 0-4	57849.760362	29165.692028	28684.068333
 5-9	64505.894499	32473.845626	32032.048873
 10-14 	62021.254432	31225.753975	30795.500457
 15-19 	148825.653001	56228.168450	92597.484552
 20-24 	447101.786167	156089.691045	291012.095122
 25-29 	895481.938454	339339.293709	556142.644745
 30-34 	1232902.311958	501904.181178	730998.130780
 35-39 	1233351.096465	528021.011820	705330.084645
 40-44 	949567.384676	424782.681295	524784.703382
 45-49 	642134.561822	287901.684816	354232.877006
 50-54 	429033.748823	180150.559390	248883.189433
 55-59 	288873.916301	108684.706566	180189.209735
 60-64 	177139.920863	63452.237515	113687.683348
 65-69 	100754.390292	36029.229092	64725.161199
 70-74 	59799.551040	21021.227356	38778.323684
 75-79 	29241.529230	10203.995399	19037.533832
 80+ 	12557.880365	4305.505239	8252.375127
Total	6831142.578749	2810979.464499	4020163.114250
2016			
 0-4	52682.283387	26560.944298	26121.339089
 5-9	59712.254321	30051.187293	29661.067028
 10-14 	60672.981383	30538.892601	30134.088782
 15-19 	147591.876334	56470.664535	91121.211799
 20-24 	428889.543253	150805.824638	278083.718614
 25-29 	857896.037658	324313.927994	533582.109664
 30-34 	1223271.513577	496016.925226	727254.588351
 35-39 	1275799.393692	543281.447864	732517.945828
 40-44 	1018605.286093	452248.357944	566356.928150
 45-49 	694660.270528	311823.011844	382837.258684
 50-54 	464030.737338	197293.815117	266736.922221
 55-59 	311194.644070	118510.767926	192683.876144
 60-64 	195222.922622	69791.806985	125431.115637
 65-69 	111480.888295	39417.264086	72063.624209
 70-74 	65092.069482	22573.025003	42519.044479
