SouthAfricaIC2	Total	Male	Female
 30-34 	4.561306	3.798310	0.762996
 35-39 	3.399780	2.862501	0.537278
 40-44 	2.293281	1.928202	0.365079
 45-49 	1.473943	1.229653	0.244290
 50-54 	0.870959	0.716247	0.154712
 55-59 	0.512565	0.418259	0.094306
 60-64 	0.332609	0.279413	0.053197
 65-69 	0.215939	0.184199	0.031740
 70-74 	0.134032	0.107554	0.026479
 75-79 	0.046276	0.039809	0.006467
 80+ 	0.002960	0.002943	0.000017
Total	26.163575	21.048689	5.114887
1979			
 0-4	0.649600	0.328608	0.320992
 5-9	0.090225	0.045541	0.044684
 10-14 	0.010296	0.005197	0.005098
 15-19 	1.725984	1.137689	0.588295
 20-24 	6.406888	4.759637	1.647251
 25-29 	7.925368	6.246489	1.678879
 30-34 	6.483929	5.293091	1.190838
 35-39 	4.846464	4.011151	0.835312
 40-44 	3.264251	2.697633	0.566618
 45-49 	2.099264	1.720039	0.379224
 50-54 	1.246025	1.007580	0.238445
 55-59 	0.722438	0.577965	0.144473
 60-64 	0.463191	0.380700	0.082490
 65-69 	0.297248	0.249113	0.048135
 70-74 	0.186634	0.146824	0.039810
 75-79 	0.066967	0.055972	0.010994
 80+ 	0.005875	0.005704	0.000170
Total	36.490645	28.668934	7.821711
1980			
 0-4	0.937421	0.474157	0.463264
 5-9	0.157773	0.079614	0.078158
 10-14 	0.025035	0.012632	0.012403
 15-19 	1.940769	1.176543	0.764226
 20-24 	7.734925	5.471868	2.263058
 25-29 	10.229665	7.805210	2.424456
 30-34 	8.489327	6.753269	1.736059
 35-39 	6.322316	5.117405	1.204912
 40-44 	4.262058	3.445168	0.816890
 45-49 	2.732118	2.186484	0.545634
 50-54 	1.621749	1.280675	0.341074
 55-59 	0.933295	0.728220	0.205074
 60-64 	0.586157	0.468386	0.117771
 65-69 	0.373924	0.305814	0.068110
 70-74 	0.235791	0.180588	0.055203
 75-79 	0.088284	0.071380	0.016904
 80+ 	0.009623	0.009091	0.000533
Total	46.680232	35.566503	11.113730
1981			
 0-4	1.388984	0.702597	0.686387
 5-9	0.248626	0.125441	0.123185
 10-14 	0.049108	0.024770	0.024338
 15-19 	2.558356	1.410983	1.147374
 20-24 	9.849859	6.542699	3.307160
 25-29 	13.457750	9.829254	3.628496
 30-34 	11.382926	8.744856	2.638071
 35-39 	8.377364	6.575602	1.801762
 40-44 	5.659255	4.434469	1.224786
 45-49 	3.603737	2.788260	0.815477
 50-54 	2.137140	1.628941	0.508198
 55-59 	1.229420	0.927460	0.301960
 60-64 	0.755290	0.581828	0.173462
 65-69 	0.483265	0.381863	0.101402
 70-74 	0.304659	0.224018	0.080641
 75-79 	0.116004	0.090701	0.025303
 80+ 	0.013653	0.012617	0.001036
Total	61.615396	45.026357	16.589039
1982			
 0-4	2.171584	1.098606	1.072978
 5-9	0.379784	0.191610	0.188174
 10-14 	0.084700	0.042713	0.041987
 15-19 	3.915964	1.970438	1.945526
 20-24 	13.845473	8.549947	5.295526
 25-29 	18.704129	12.916820	5.787309
 30-34 	16.067374	11.799438	4.267936
