Workshop_1_Demo	Total	Male	Female
Total	163396.243548	80411.920607	82984.322941
1992			
 0-4	12504.136671	6287.465525	6216.671146
 5-9	13543.248876	6799.456401	6743.792475
 10-14 	8977.287120	4494.667162	4482.619958
 15-19 	19682.629687	9826.375342	9856.254344
 20-24 	21624.752052	10742.183014	10882.569038
 25-29 	18836.985096	9375.166942	9461.818154
 30-34 	16109.645500	8004.601509	8105.043992
 35-39 	13764.777666	6842.654125	6922.123541
 40-44 	11072.744785	5510.122291	5562.622494
 45-49 	8879.876403	4377.377039	4502.499363
 50-54 	7247.467912	3502.237949	3745.229963
 55-59 	5723.793255	2723.723371	3000.069883
 60-64 	4351.742437	2042.443515	2309.298921
 65-69 	3042.067404	1340.598952	1701.468452
 70-74 	2005.300163	788.600818	1216.699345
 75-79 	1165.526374	407.071368	758.455006
 80+ 	825.520125	231.513848	594.006276
Total	169357.501524	83296.259171	86061.242353
1993			
 0-4	12693.559008	6383.528538	6310.030470
 5-9	13805.899402	6932.489719	6873.409683
 10-14 	9228.963615	4622.174178	4606.789438
 15-19 	20312.130305	10148.864176	10163.266128
 20-24 	22364.572824	11127.681329	11236.891495
 25-29 	19613.586381	9748.301955	9865.284426
 30-34 	16675.795165	8274.710524	8401.084641
 35-39 	14344.653467	7105.075921	7239.577546
 40-44 	11694.867420	5797.596698	5897.270721
 45-49 	9301.743836	4581.230735	4720.513101
 50-54 	7636.734651	3694.460476	3942.274175
 55-59 	6021.263920	2859.832247	3161.431673
 60-64 	4589.317229	2148.349238	2440.967991
 65-69 	3203.788708	1423.484580	1780.304128
 70-74 	2089.462268	827.870781	1261.591486
 75-79 	1227.478770	429.825852	797.652918
 80+ 	864.581370	243.891084	620.690287
Total	175668.398338	86349.368031	89319.030307
1994			
 0-4	12926.997571	6501.969605	6425.027965
 5-9	14082.943025	7072.545676	7010.397349
 10-14 	9493.454348	4755.900868	4737.553480
 15-19 	21006.614884	10508.602271	10498.012613
 20-24 	23117.562836	11553.503114	11564.059722
 25-29 	20294.288772	10087.147841	10207.140931
 30-34 	17207.137724	8543.867408	8663.270316
 35-39 	14879.443894	7347.168734	7532.275160
 40-44 	12343.455097	6083.100052	6260.355045
 45-49 	9801.696825	4804.067848	4997.628977
 50-54 	8066.435948	3893.273394	4173.162553
 55-59 	6366.946116	3011.488660	3355.457457
 60-64 	4848.269305	2257.390685	2590.878620
 65-69 	3379.713334	1508.336813	1871.376521
 70-74 	2179.364495	870.931375	1308.433120
 75-79 	1287.936846	451.955775	835.981071
 80+ 	905.445169	257.211862	648.233307
Total	182187.706189	89508.461982	92679.244207
1995			
 0-4	13212.346863	6647.102006	6565.244857
 5-9	14393.719350	7229.207168	7164.512182
 10-14 	9773.650790	4897.069267	4876.581522
 15-19 	21807.261677	10926.832621	10880.429056
 20-24 	23809.129324	11949.803393	11859.325931
 25-29 	20905.026037	10462.361205	10442.664832
 30-34 	17671.178203	8811.074547	8860.103656
 35-39 	15345.777125	7560.482129	7785.294996
 40-44 	13014.631664	6360.198927	6654.432737
 45-49 	10405.374945	5050.073359	5355.301586
 50-54 	8557.256364	4099.510232	4457.746132
 55-59 	6778.119469	3181.309557	3596.809912
 60-64 	5135.709622	2369.849878	2765.859744
 65-69 	3570.448983	1592.843900	1977.605083
 70-74 	2273.246278	915.898470	1357.347808
 75-79 	1343.666195	472.603683	871.062512
 80+ 	943.659370	270.854803	672.804567
Total	188940.202258	92797.075146	96143.127113
1996			
 0-4	13539.816909	6811.580986	6728.235923
 5-9	14752.552774	7407.554223	7344.998551
 10-14 	10072.090925	5045.812908	5026.278017
 15-19 	22738.912500	11412.161902	11326.750598
 20-24 	24539.165565	12416.854766	12122.310799
 25-29 	21389.424195	10799.752478	10589.671717
 30-34 	18053.134882	9069.041136	8984.093747
 35-39 	15728.354277	7750.388516	7977.965761
 40-44 	13650.055306	6614.821295	7035.234011
 45-49 	11087.027678	5317.120364	5769.907314
 50-54 	9063.166084	4294.614638	4768.551446
 55-59 	7235.307831	3361.682602	3873.625228
 60-64 	5442.356943	2482.597291	2959.759651
 65-69 	3776.359184	1674.930618	2101.428567
 70-74 	2374.186854	964.381853	1409.805001
 75-79 	1388.344466	490.740235	897.604231
 80+ 	974.200849	284.139233	690.061616
Total	195804.457222	96198.175043	99606.282178
1997			
 0-4	13945.312439	7015.209908	6930.102531
 5-9	15190.974377	7625.164658	7565.809719
 10-14 	10391.089778	5203.646335	5187.443443
 15-19 	23853.528020	11991.169154	11862.358866
 20-24 	25399.462992	12951.966456	12447.496536
 25-29 	21824.041272	11171.275539	10652.765733
 30-34 	18405.040432	9352.241170	9052.799263
 35-39 	16069.173981	7936.436043	8132.737938
 40-44 	14286.863574	6863.889143	7422.974431
 45-49 	11869.003525	5614.887784	6254.115741
 50-54 	9654.933022	4511.987281	5142.945740
 55-59 	7770.804589	3567.075618	4203.728971
 60-64 	5799.765219	2611.005315	3188.759904
 65-69 	4009.932321	1761.506063	2248.426258
 70-74 	2489.127550	1016.747366	1472.380185
 75-79 	1432.474829	509.625700	922.849129
 80+ 	1002.014720	297.763169	704.251551
Total	203393.542640	100001.596701	103391.945939
1998			
 0-4	14464.683383	7276.108794	7188.574590
 5-9	15719.634054	7888.096884	7831.537170
 10-14 	10731.829955	5371.573953	5360.256002
 15-19 	25172.435763	12673.311190	12499.124572
 20-24 	26451.462000	13593.161522	12858.300478
 25-29 	22327.997208	11604.788592	10723.208616
 30-34 	18786.740844	9674.857580	9111.883264
 35-39 	16408.838855	8144.862989	8263.975865
 40-44 	14920.701632	7117.761351	7802.940281
 45-49 	12726.541942	5941.818245	6784.723697
 50-54 	10340.801081	4762.988459	5577.812622
 55-59 	8377.962975	3797.460397	4580.502578
 60-64 	6221.422336	2762.688449	3458.733887
 65-69 	4282.871889	1858.943567	2423.928322
 70-74 	2629.201233	1076.444447	1552.756785
 75-79 	1486.586485	532.846793	953.739692
 80+ 	1034.900989	313.252017	721.648972
Total	212084.612622	104390.965229	107693.647394
1999			
 0-4	15120.870055	7605.516274	7515.353782
 5-9	16337.572930	8197.031619	8140.541312
