bangladesh_test	Total	Male	Female
 65-69 	1054442.606371	587036.740127	467405.866244
 70-74 	701331.215501	382152.940661	319178.274840
 75-79 	389271.769743	210115.123495	179156.646248
 80+ 	246237.854796	133708.103118	112529.751678
Total	69260834.210351	35825721.266697	33435112.943655
1973			
 0-4	12423041.614630	6312785.049811	6110256.564819
 5-9	10237492.645034	5255846.272926	4981646.372108
 10-14 	8695750.890106	4451211.840074	4244539.050032
 15-19 	6943823.983273	3555707.499716	3388116.483558
 20-24 	5497034.472720	2831068.924269	2665965.548452
 25-29 	4750358.155453	2440140.223837	2310217.931617
 30-34 	4266775.310800	2214352.963856	2052422.346944
 35-39 	3710199.501429	1953805.873798	1756393.627631
 40-44 	3174259.674336	1674957.295236	1499302.379100
 45-49 	2677993.985658	1408239.572336	1269754.413322
 50-54 	2248750.904695	1192933.270263	1055817.634432
 55-59 	1841859.286405	989200.287928	852658.998476
 60-64 	1457175.284994	798308.588780	658866.696213
 65-69 	1080371.364733	602684.127097	477687.237637
 70-74 	721055.103954	394797.817442	326257.286513
 75-79 	396595.914293	214234.619748	182361.294545
 80+ 	245891.612956	133776.604358	112115.008597
Total	70368429.705468	36424050.831473	33944378.873994
1974			
 0-4	12623028.026161	6416888.188940	6206139.837221
 5-9	10336749.342956	5303879.808737	5032869.534219
 10-14 	8936735.312746	4584550.681910	4352184.630836
 15-19 	7062159.989708	3622550.075974	3439609.913733
 20-24 	5497592.848128	2842385.824241	2655207.023888
 25-29 	4795851.734875	2465006.837212	2330844.897663
 30-34 	4348236.229365	2250929.469769	2097306.759596
 35-39 	3799951.301545	1997436.283361	1802515.018184
 40-44 	3259818.885331	1723079.445403	1536739.439928
 45-49 	2743410.558710	1443309.489346	1300101.069364
 50-54 	2306244.274770	1221370.661917	1084873.612853
 55-59 	1890134.733181	1013150.229531	876984.503649
 60-64 	1497502.658223	816511.372822	680991.285402
 65-69 	1108918.711024	618640.532998	490278.178026
 70-74 	743699.451288	409292.586324	334406.864963
 75-79 	409223.557708	221408.890713	187814.666995
 80+ 	250677.204045	136524.749327	114152.454718
Total	71609934.819763	37086915.128524	34523019.691240
1975			
 0-4	12709949.898867	6456896.363208	6253053.535659
 5-9	10596928.337361	5435621.728036	5161306.609325
 10-14 	9222718.623507	4741229.347448	4481489.276059
 15-19 	7281721.948425	3738373.532898	3543348.415527
 20-24 	5557517.823443	2882514.166344	2675003.657099
 25-29 	4831563.358927	2487818.927875	2343744.431052
 30-34 	4403816.255131	2273280.409144	2130535.845987
 35-39 	3888894.067365	2037998.957205	1850895.110160
 40-44 	3344917.814823	1770627.122119	1574290.692704
 45-49 	2805806.174560	1478380.304465	1327425.870095
 50-54 	2359147.524634	1247873.704847	1111273.819787
 55-59 	1936862.504048	1036599.495007	900263.009042
 60-64 	1536440.112358	834539.195535	701900.916823
 65-69 	1138962.679419	634380.392393	504582.287026
 70-74 	768608.160362	425264.183297	343343.977065
 75-79 	427080.399307	231628.396299	195452.003007
 80+ 	260626.464390	141997.614441	118628.849950
Total	73071562.146928	37855023.840561	35216538.306367
1976			
 0-4	13039567.055685	6626803.720971	6412763.334714
 5-9	10732192.576899	5495268.869111	5236923.707788
 10-14 	9501275.202298	4889594.431769	4611680.770529
 15-19 	7617986.170112	3909944.290238	3708041.879874
 20-24 	5718698.228889	2968446.924305	2750251.304584
 25-29 	4884661.236147	2521290.308299	2363370.927848
 30-34 	4435335.519594	2283226.797256	2152108.722339
 35-39 	3977968.106278	2075791.249367	1902176.856910
 40-44 	3431519.723157	1817366.503664	1614153.219493
 45-49 	2868500.340785	1514970.821479	1353529.519306
 50-54 	2408775.454360	1272738.452447	1136037.001914
 55-59 	1983736.666949	1059883.793419	923852.873529
 60-64 	1574546.288795	852962.942688	721583.346107
 65-69 	1171245.254201	649797.529085	521447.725117
 70-74 	794707.947054	441978.072599	352729.874454
 75-79 	449304.282942	244493.090745	204811.192197
 80+ 	274725.678372	149649.416590	125076.261782
Total	74864745.732518	38774207.214032	36090538.518485
1977			
 0-4	13345516.987489	6782508.475329	6563008.512160
 5-9	10929602.706824	5586614.701412	5342988.005412
 10-14 	9811768.553257	5052839.351434	4758929.201823
 15-19 	7997336.317991	4105198.208559	3892138.109432
 20-24 	5967712.791518	3096629.424876	2871083.366642
 25-29 	4943453.064548	2560237.826339	2383215.238209
 30-34 	4448805.678574	2284239.674732	2164566.003842
 35-39 	4061992.716278	2108813.534876	1953179.181402
 40-44 	3517972.104759	1862584.227709	1655387.877050
 45-49 	2928815.423985	1551137.042019	1377678.381966
 50-54 	2454394.656833	1296246.895089	1158147.761744
 55-59 	2028051.194989	1081989.098270	946062.096719
 60-64 	1610651.301543	870835.717659	739815.583884
 65-69 	1202927.275954	664304.833308	538622.442646
 70-74 	820509.087574	458157.329937	362351.757636
 75-79 	472848.288039	258311.886443	214536.401596
 80+ 	291231.429910	158654.508591	132576.921319
Total	76833589.580065	39779302.736584	37054286.843481
1978			
 0-4	13672195.862362	6949219.626191	6722976.236171
 5-9	11163563.147421	5696628.033225	5466935.114196
 10-14 	10092341.759244	5197729.534845	4894612.224399
 15-19 	8375116.336473	4301874.927283	4073241.409190
 20-24 	6291315.727259	3260440.403083	3030875.324175
 25-29 	5018886.721005	2609306.132026	2409580.588979
 30-34 	4457648.960517	2284945.524690	2172703.435827
 35-39 	4135170.884770	2135222.000276	1999948.884495
 40-44 	3605261.325495	1906350.308586	1698911.016910
 45-49 	2988970.841284	1587448.956444	1401521.884840
 50-54 	2498141.836278	1319719.758209	1178422.078068
 55-59 	2069808.082467	1102910.115671	966897.966797
 60-64 	1645686.636178	888331.933802	757354.702376
 65-69 	1233213.830247	677918.520721	555295.309527
 70-74 	845452.708431	473141.317930	372311.390501
 75-79 	495759.546325	272053.590776	223705.955550
 80+ 	308948.276395	168408.241224	140540.035170
Total	78897482.482154	40831648.924982	38065833.557171
1979			
 0-4	13991945.971105	7113001.734291	6878944.236814
 5-9	11520959.924703	5875468.287116	5645491.637587
 10-14 	10247262.880974	5270371.262906	4976891.618068
 15-19 	8735941.133631	4491984.983217	4243956.150415
 20-24 	6665054.327074	3448494.793871	3216559.533202
 25-29 	5126690.753069	2676486.820196	2450203.932874
 30-34 	4477573.212333	2296674.843570	2180898.368763
 35-39 	4194974.890786	2155855.189247	2039119.701539
 40-44 	3693018.793780	1948095.023493	1744923.770286
 45-49 	3051138.647528	1624502.309765	1426636.337763
 50-54 	2541755.555930	1344219.089894	1197536.466036
 55-59 	2109461.366203	1122857.850122	986603.516081
 60-64 	1680556.064005	905775.988224	774780.075781
 65-69 	1262325.479582	691069.577680	571255.901902
 70-74 	869927.768507	486926.069962	383001.698545
 75-79 	517615.912274	285449.511159	232166.401115
 80+ 	327891.761052	178950.640901	148941.120151
Total	81014094.442537	41916183.975614	39097910.466923
1980			
 0-4	14300530.588218	7271322.512228	7029208.075991
 5-9	11726129.122705	5970974.050266	5755155.072440
 10-14 	10542018.239342	5417609.871572	5124408.367770
 15-19 	9095557.559155	4683498.966062	4412058.593093
 20-24 	7067373.261937	3651198.098119	3416175.163818
 25-29 	5285307.345147	2771144.250632	2514163.094515
 30-34 	4518601.782754	2327779.724824	2190822.057930
 35-39 	4241931.753831	2173135.161407	2068796.592425
 40-44 	3780213.854536	1987120.725888	1793093.128647
 45-49 	3116258.947348	1662564.365356	1453694.581991
 50-54 	2585532.418850	1369990.270358	1215542.148492
 55-59 	2147027.755573	1141821.262551	1005206.493021
 60-64 	1715173.451968	923149.943302	792023.508666
 65-69 	1290295.459870	703918.528187	586376.931682
 70-74 	893913.150305	499481.231527	394431.918779
 75-79 	538271.765327	298360.923752	239910.841576
 80+ 	347851.127225	190156.666238	157694.460986
Total	83191987.584092	43043226.552269	40148761.031823
1981			
 0-4	14590268.865380	7421005.789542	7169263.075838
 5-9	12120951.330828	6172250.419433	5948700.911395
 10-14 	10693092.317901	5484131.054414	5208961.263488
 15-19 	9401781.997920	4845525.058234	4556256.939687
 20-24 	7473970.198432	3859843.522255	3614126.676176
 25-29 	5494968.731313	2893651.591209	2601317.140104
 30-34 	4589673.087508	2385220.976577	2204452.110931
 35-39 	4275113.778915	2189610.921632	2085502.857283
 40-44 	3862732.712694	2023113.659573	1839619.053121
 45-49 	3180340.048599	1700537.610723	1479802.437876
 50-54 	2627418.031835	1397822.401790	1229595.630046
 55-59 	2179554.642683	1159526.998356	1020027.644328
 60-64 	1747719.437189	940347.014382	807372.422808
 65-69 	1315429.287350	716779.061655	598650.225695
 70-74 	917081.128545	510772.897087	406308.231458
 75-79 	557082.846614	310502.968714	246579.877899
 80+ 	368672.699128	201977.031239	166695.667889
Total	85395851.142835	44212618.976814	41183232.166021
1982			
 0-4	14869089.375296	7564854.304826	7304235.070469
 5-9	12455020.433574	6341738.326511	6113282.107063
 10-14 	10893522.727933	5576442.059241	5317080.668692
 15-19 	9718860.184047	5011871.146069	4706989.037978
 20-24 	7869499.369745	4065108.275655	3804391.094090
 25-29 	5770614.742950	3047643.901165	2722970.841785
 30-34 	4686308.807510	2463537.554462	2222771.253048
 35-39 	4306557.591680	2211635.081209	2094922.510471
 40-44 	3942230.390952	2056316.080626	1885914.310326
 45-49 	3247683.756843	1738764.566047	1508919.190795
