Bangladesh	Total	Male	Female																																																																																																																																																																																																																																																							
1970																																																																																																																																																																																																																																																										
 70-74 	66874.087630	36179.671289	30694.416341																																																																																																																																																																																																																																																							
 75-79 	61741.125568	33686.704058	28054.421510																																																																																																																																																																																																																																																							
 80+ 	108029.886899	59571.185481	48458.701418																																																																																																																																																																																																																																																							
Total	997080.952159	521983.896650	475097.055509																																																																																																																																																																																																																																																							
1996			
 0-4	370685.297011	191793.123593	178892.173418
 5-9	34469.777223	16354.220045	18115.557178
 10-14 	18150.506007	9101.374206	9049.131800
 15-19 	18868.395748	8561.120513	10307.275235
 20-24 	20457.625255	9427.383511	11030.241743
 25-29 	19584.141056	9005.556337	10578.584720
 30-34 	20327.160847	9712.332848	10614.827998
 35-39 	19165.787319	9391.002545	9774.784774
 40-44 	20821.078099	10931.396888	9889.681212
 45-49 	24098.031173	12772.624977	11325.406197
 50-54 	30943.725828	17440.424789	13503.301039
 55-59 	37180.707450	20239.139904	16941.567546
 60-64 	50431.850277	28234.676955	22197.173323
 65-69 	55242.040390	30348.043213	24893.997177
 70-74 	68665.688144	37076.665942	31589.022203
 75-79 	63347.420026	34482.700658	28864.719368
 80+ 	111291.003154	61232.134249	50058.868905
Total	983730.235008	516103.921174	467626.313834
1997			
 0-4	349529.986822	180844.774577	168685.212246
 5-9	32788.680989	15605.386541	17183.294448
 10-14 	17740.800678	8971.160467	8769.640211
 15-19 	18703.830765	8566.974087	10136.856678
 20-24 	20337.578383	9440.106334	10897.472049
 25-29 	19334.667449	8915.975528	10418.691921
 30-34 	20403.373641	9822.836575	10580.537067
 35-39 	19652.736550	9662.673011	9990.063539
 40-44 	21316.180800	11210.047306	10106.133494
 45-49 	24150.459899	12995.787677	11154.672222
 50-54 	31003.328990	17611.908703	13391.420287
 55-59 	38161.257588	20774.764263	17386.493326
 60-64 	52038.189425	29177.191829	22860.997596
 65-69 	56601.805698	31188.107128	25413.698569
 70-74 	70442.519114	37989.335083	32453.184031
 75-79 	65013.116681	35305.060881	29708.055800
 80+ 	114598.489650	62901.933407	51696.556242
Total	971817.003122	510984.023397	460832.979725
1998			
 0-4	329444.377260	170442.474992	159001.902269
 5-9	31137.377172	14865.642376	16271.734796
 10-14 	17308.271323	8827.330375	8480.940947
 15-19 	18501.581189	8553.709568	9947.871621
 20-24 	20197.759760	9449.891598	10747.868162
 25-29 	19134.917675	8848.896286	10286.021389
 30-34 	20364.641148	9873.067900	10491.573248
 35-39 	20020.708723	9892.498049	10128.210674
 40-44 	21952.160578	11540.526916	10411.633662
 45-49 	24285.775714	13253.777755	11031.997959
 50-54 	31050.344368	17810.788308	13239.556060
 55-59 	39058.727267	21280.073276	17778.653991
 60-64 	53740.985999	30149.599473	23591.386526
 65-69 	58084.071442	32098.153486	25985.917956
 70-74 	72235.959630	38940.781772	33295.177858
 75-79 	66697.595121	36136.215822	30561.379299
 80+ 	117953.159445	64576.967132	53376.192313
Total	961168.413813	506540.395084	454628.018729
1999			
 0-4	310034.980154	160389.787173	149645.192981
 5-9	29515.513662	14131.710936	15383.802726
 10-14 	16854.800995	8671.992081	8182.808915
 15-19 	18246.935292	8514.304086	9732.631206
 20-24 	20010.348528	9439.164130	10571.184398
 25-29 	19170.929969	8905.154139	10265.775830
 30-34 	19996.233593	9745.628574	10250.605019
 35-39 	20298.854401	10091.272490	10207.581911
 40-44 	22669.606386	11905.609730	10763.996655
 45-49 	24505.885350	13539.540195	10966.345155
 50-54 	31134.913645	18058.722580	13076.191065
 55-59 	39823.944482	21745.047094	18078.897388
 60-64 	55509.856750	31137.243680	24372.613069
 65-69 	59664.590385	33059.657318	26604.933067
 70-74 	74062.366652	39947.267151	34115.099500
 75-79 	68373.888799	36966.712353	31407.176446
 80+ 	121357.860886	66258.657563	55099.203324
Total	951231.509929	502507.471276	448724.038653
2000			
 0-4	291433.144252	150755.726985	140677.417267
 5-9	27944.151225	13418.634634	14525.516591
 10-14 	16381.290163	8503.314271	7877.975892
 15-19 	17934.940676	8444.759255	9490.181421
 20-24 	19758.960882	9393.777101	10365.183780
 25-29 	19074.353958	8903.016907	10171.337051
 30-34 	19764.124370	9681.251358	10082.873012
 35-39 	20532.393709	10278.915173	10253.478536
 40-44 	23389.524857	12275.552209	11113.972648
 45-49 	24849.116369	13863.661454	10985.454915
 50-54 	31281.211546	18364.196720	12917.014827
 55-59 	40414.368012	22157.572457	18256.795555
 60-64 	57291.260469	32115.203610	25176.056859
 65-69 	61304.378286	34058.788986	27245.589299
 70-74 	75915.691638	41014.604544	34901.087094
 75-79 	70033.908755	37796.172465	32237.736290
 80+ 	124855.924744	67968.412294	56887.512450
Total	942158.743910	498993.560424	443165.183486
2001			
 0-4	273631.855255	141534.302015	132097.553239
 5-9	26424.529520	12725.026708	13699.502813
 10-14 	15893.915223	8324.010768	7569.904455
 15-19 	17572.139533	8346.551814	9225.587718
 20-24 	19439.512243	9309.141812	10130.370432
 25-29 	19010.956273	8910.833179	10100.123094
 30-34 	19437.132914	9563.013966	9874.118948
 35-39 	20589.087352	10376.825914	10212.261438
 40-44 	24028.314744	12617.878586	11410.436159
 45-49 	25306.000580	14213.294557	11092.706023
 50-54 	31538.189436	18748.583162	12789.606274
 55-59 	40775.403962	22495.627043	18279.776918
 60-64 	58982.735785	33029.948941	25952.786844
 65-69 	62900.483486	35032.748845	27867.734641
 70-74 	77788.382814	42154.648940	35633.733874
 75-79 	71648.098854	38612.398187	33035.700667
 80+ 	128500.883234	69729.418206	58771.465028
Total	933467.621208	495724.252642	437743.368566
2002			
 0-4	256425.260918	132616.308958	123808.951960
 5-9	24973.071908	12060.197628	12912.874280
 10-14 	15404.751882	8139.575330	7265.176553
 15-19 	17182.828068	8230.943110	8951.884959
 20-24 	19061.931688	9190.154594	9871.777094
 25-29 	18907.288013	8906.737688	10000.550325
 30-34 	19092.140434	9426.460308	9665.680126
 35-39 	20628.274893	10464.481630	10163.793264
 40-44 	24544.796162	12913.546738	11631.249424
 45-49 	25920.458023	14614.143142	11306.314881
 50-54 	31874.424902	19181.816085	12692.608818
 55-59 	41002.268538	22809.571387	18192.697151
 60-64 	60533.286526	33866.581875	26666.704651
 65-69 	64460.660933	35981.624630	28479.036303
 70-74 	79656.081730	43335.050853	36321.030876
 75-79 	73250.703162	39450.236406	33800.466756
 80+ 	132287.979096	71542.102792	60745.876305
Total	925206.206877	492729.533152	432476.673725
2003			
 0-4	239541.394175	123921.458688	115619.935488
 5-9	23582.571167	11423.392772	12159.178395
 10-14 	14929.904970	7961.321050	6968.583920
 15-19 	16800.465111	8113.855406	8686.609705
 20-24 	18651.778739	9047.845819	9603.932920
 25-29 	18783.854570	8895.428330	9888.426239
 30-34 	18812.751423	9321.989248	9490.762176
 35-39 	20556.689892	10490.730326	10065.959566
 40-44 	24923.905334	13154.134152	11769.771183
 45-49 	26696.832572	15082.106163	11614.726409
 50-54 	32309.388510	19661.002056	12648.386454
 55-59 	41208.511648	23160.086688	18048.424960
 60-64 	61917.557957	34624.883021	27292.674936
 65-69 	66042.252777	36915.333491	29126.919286
 70-74 	81550.399833	44555.032878	36995.366955
 75-79 	74867.640511	40332.055074	34535.585437
 80+ 	136160.483983	73379.691481	62780.792502
Total	917336.383173	490040.346643	427296.036530
2004			
 0-4	222913.702684	115406.540867	107507.161817
 5-9	22249.051012	10812.724367	11436.326646
 10-14 	14473.738657	7790.835875	6682.902782
 15-19 	16433.159367	8000.397139	8432.762228
 20-24 	18219.214703	8887.808377	9331.406326
 25-29 	18632.318505	8870.162886	9762.155618
 30-34 	18792.372315	9361.245688	9431.126626
 35-39 	20170.822495	10337.217156	9833.605338
 40-44 	25202.492812	13354.109121	11848.383691
 45-49 	27591.672188	15607.830887	11983.841301
 50-54 	32868.690315	20186.764165	12681.926149
 55-59 	41471.511132	23584.587647	17886.923485
 60-64 	63094.994741	35296.118752	27798.875989
 65-69 	67656.773483	37819.869788	29836.903695
 70-74 	83484.662204	45800.853801	37683.808403
 75-79 	76498.118012	41264.044884	35234.073128
 80+ 	140075.054080	75223.718988	64851.335091
Total	909828.348702	487604.830389	422223.518313
2005			
 0-4	207059.585636	107258.227838	99801.357797
 5-9	20981.929098	10229.764507	10752.164591
 10-14 	14024.600854	7620.042194	6404.558659
 15-19 	16054.819540	7878.821441	8175.998099
 20-24 	17758.421122	8706.336170	9052.084951
 25-29 	18433.632468	8818.952528	9614.679941
 30-34 	18643.490945	9333.480074	9310.010871
 35-39 	19969.898436	10274.589601	9695.308835
 40-44 	25441.280767	13541.319614	11899.961154
 45-49 	28532.762627	16158.792279	12373.970348
 50-54 	33600.149784	20774.782578	12825.367207
 55-59 	41802.095081	24081.182757	17720.912324
 60-64 	63984.101823	35850.109713	28133.992110
 65-69 	69272.149792	38678.255192	30593.894600
 70-74 	85445.210968	47050.641117	38394.569851
 75-79 	78118.557941	42237.830184	35880.727757
 80+ 	144059.132460	77089.951449	66969.181011
Total	903181.819341	485583.079237	417598.740105
2006			
 0-4	192512.738976	99690.541809	92822.197167
 5-9	19784.421054	9673.229860	10111.191194
 10-14 	13561.699734	7433.244923	6128.454811
 15-19 	15637.690484	7735.298776	7902.391708
 20-24 	17272.701663	8507.294623	8765.407039
 25-29 	18174.844063	8733.858463	9440.985599
 30-34 	18561.662989	9339.431825	9222.231164
 35-39 	19636.363095	10123.994073	9512.369021
 40-44 	25471.126206	13605.806740	11865.319467
 45-49 	29413.012950	16675.995415	12737.017535
 50-54 	34465.196979	21384.050713	13081.146265
 55-59 	42218.229649	24635.052691	17583.176958
 60-64 	64399.685295	36180.091661	28219.593634
 65-69 	70707.568406	39380.621791	31326.946615
 70-74 	87322.063247	48205.951023	39116.112223
 75-79 	79722.638418	43259.677911	36462.960507
 80+ 	148129.604862	78991.299903	69138.304959
Total	896991.248068	483555.442199	413435.805869
2007			
 0-4	179756.366705	92904.049033	86852.317672
 5-9	18646.852109	9136.518865	9510.333244
 10-14 	13073.076780	7221.447003	5851.629777
 15-19 	15179.464290	7570.415831	7609.048459
 20-24 	16768.522185	8300.999891	8467.522294
 25-29 	17857.193156	8621.615421	9235.577735
 30-34 	18438.911503	9324.669874	9114.241630
 35-39 	19297.606051	9958.360425	9339.245626
 40-44 	25509.008467	13666.145714	11842.862753
 45-49 	30202.727937	17145.139617	13057.588319
 50-54 	35530.581879	22064.686880	13465.894999
 55-59 	42682.992790	25214.736878	17468.255912
 60-64 	64516.413509	36397.456618	28118.956891
 65-69 	71944.991127	39953.219833	31991.771294
 70-74 	89111.985389	49255.307569	39856.677820
 75-79 	81253.253346	44276.062201	36977.191145
 80+ 	152369.969453	80995.212187	71374.757265
Total	892139.916675	482006.043840	410133.872835
2008			
 0-4	168445.158501	86583.384647	81861.773853
 5-9	17547.339566	8600.795976	8946.543590
 10-14 	12529.894607	6957.424142	5572.470465
 15-19 	14647.933292	7358.224715	7289.708577
 20-24 	16234.323015	8079.770349	8154.552666
 25-29 	17456.931078	8466.432216	8990.498863
 30-34 	18267.569253	9274.606545	8992.962708
 35-39 	18985.788391	9789.360092	9196.428298
 40-44 	25417.896872	13635.809405	11782.087467
 45-49 	30871.270305	17540.327768	13330.942537
 50-54 	36757.831189	22789.718497	13968.112692
 55-59 	43137.114870	25750.875453	17386.239417
 60-64 	64339.803858	36519.414564	27820.389293
 65-69 	72778.035519	40317.178427	32460.857092
 70-74 	90671.266251	50137.250694	40534.015556
 75-79 	82661.076668	45248.554344	37412.522324
 80+ 	156800.284432	83130.694151	73669.590282
Total	887549.517666	480179.821986	407369.695681
2009			
 0-4	157931.451080	80457.250603	77474.200477
 5-9	16479.946412	8067.413643	8412.532769
 10-14 	11940.531110	6646.126549	5294.404561
 15-19 	14059.076375	7102.773868	6956.302507
 20-24 	15692.056646	7857.145502	7834.911145
 25-29 	16995.840277	8284.641886	8711.198391
 30-34 	18050.269946	9194.048570	8856.221377
 35-39 	18918.125776	9752.112521	9166.013255
 40-44 	24970.992890	13383.608318	11587.384571
 45-49 	31473.582750	17895.958374	13577.624375
 50-54 	38103.348895	23540.857232	14562.491662
 55-59 	43612.199848	26235.394004	17376.805845
 60-64 	64000.940179	36621.977938	27378.962241
 65-69 	73156.181855	40470.623030	32685.558825
 70-74 	91964.136772	50834.926053	41129.210719
 75-79 	83942.746291	46151.351965	37791.394326
 80+ 	161358.623098	85377.229739	75981.393359
Total	882650.050200	477873.439796	404776.610404
2010			
 0-4	148212.624249	74746.527616	73466.096633
 5-9	15461.985902	7558.720191	7903.265711
 10-14 	11341.449946	6322.065551	5019.384395
 15-19 	13471.166709	6845.653033	6625.513676
 20-24 	15175.160415	7658.938416	7516.221999
 25-29 	16531.305886	8117.197256	8414.108630
 30-34 	17818.570984	9114.072603	8704.498381
 35-39 	18740.840078	9658.767985	9082.072094
 40-44 	24884.926241	13338.830109	11546.096132
 45-49 	32078.859607	18260.746307	13818.113300
 50-54 	39524.685512	24318.178242	15206.507269
 55-59 	44244.219108	26738.949252	17505.269856
 60-64 	63702.522192	36795.779720	26906.742472
 65-69 	73170.485557	40472.461343	32698.024213
 70-74 	93149.975229	51402.892143	41747.083085
 75-79 	85146.578631	46981.855078	38164.723554
 80+ 	165978.054058	87692.763678	78285.290380
Total	878633.410304	476024.398522	402609.011782
2011			
 0-4	139235.470131	69597.492987	69637.977144
 5-9	14520.184729	7098.566654	7421.618075
 10-14 	10765.063252	6015.665576	4749.397676
 15-19 	12922.031465	6614.913247	6307.118217
 20-24 	14706.055586	7501.796229	7204.259357
 25-29 	16104.503162	7990.897957	8113.605206
 30-34 	17594.434852	9056.923400	8537.511452
 35-39 	18753.135206	9696.942729	9056.192476
 40-44 	24549.225364	13144.210422	11405.014942
 45-49 	32488.406715	18514.306938	13974.099777
 50-54 	40992.948424	25138.023186	15854.925238
 55-59 	45154.783161	27336.403892	17818.379269
 60-64 	63848.254263	37258.577520	26589.676743
 65-69 	73048.242130	40474.027947	32574.214184
 70-74 	94422.325321	51933.487091	42488.838231
 75-79 	86313.360892	47722.519200	38590.841692
 80+ 	170615.809812	90056.643237	80559.166575
Total	876034.234465	475151.398211	400882.836254
2012			
 0-4	130991.614238	65136.657304	65854.956934
 5-9	13677.714206	6706.422196	6971.292010
 10-14 	10230.386754	5747.144642	4483.242113
 15-19 	12432.409357	6427.662572	6004.746785
 20-24 	14293.008580	7389.566302	6903.442278
 25-29 	15727.737914	7917.056970	7810.680945
 30-34 	17376.348855	9032.861258	8343.487597
 35-39 	18763.575808	9764.076209	8999.499599
 40-44 	24267.416015	12992.071456	11275.344558
 45-49 	32900.313801	18779.565848	14120.747953
 50-54 	42419.205639	25959.893904	16459.311735
 55-59 	46425.792757	28080.494030	18345.298727
 60-64 	64325.711993	37897.678251	26428.033742
 65-69 	72930.793494	40536.222789	32394.570705
 70-74 	95782.437710	52427.374760	43355.062950
 75-79 	87498.078138	48379.515176	39118.562963
 80+ 	175172.080946	92375.745445	82796.335501
Total	875214.626208	475550.009113	399664.617095
2013			
 0-4	123415.804615	61316.136836	62099.667779
 5-9	12925.527977	6382.094012	6543.433966
 10-14 	9719.155722	5511.001817	4208.153905
 15-19 	11973.265710	6278.120932	5695.144778
 20-24 	13900.695900	7314.553668	6586.142232
 25-29 	15387.667363	7898.520194	7489.147169
 30-34 	17156.694893	9050.263191	8106.431702
 35-39 	18807.396338	9894.087974	8913.308364
 40-44 	24062.424500	12909.144243	11153.280256
 45-49 	33117.412200	18941.844477	14175.567723
 50-54 	43712.404798	26724.549287	16987.855511
 55-59 	48019.934559	28934.910055	19085.024504
 60-64 	65001.138183	38562.525211	26438.612971
 65-69 	72787.130832	40584.881704	32202.249128
 70-74 	96944.123346	52690.942655	44253.180691
 75-79 	88659.348046	48858.418467	39800.929579
 80+ 	179609.220399	94571.724125	85037.496274
Total	875199.345381	476423.718850	398775.626531
2014			
 0-4	116259.782903	57859.117969	58400.664934
 5-9	12251.980539	6109.452040	6142.528499
 10-14 	9212.287523	5286.371520	3925.916004
 15-19 	11511.796136	6139.124376	5372.671760
 20-24 	13499.865836	7249.491562	6250.374274
 25-29 	15036.036255	7894.436410	7141.599845
 30-34 	16880.964270	9061.277692	7819.686578
 35-39 	18801.273534	10020.267870	8781.005664
 40-44 	24153.432132	13021.224665	11132.207467
 45-49 	32783.340972	18762.717311	14020.623661
 50-54 	44829.332905	27387.187500	17442.145405
 55-59 	49806.026398	29818.533574	19987.492824
 60-64 	65752.822544	39139.343220	26613.479325
 65-69 	72577.309397	40577.496322	31999.813076
 70-74 	97634.759517	52613.741141	45021.018376
 75-79 	89770.324668	49127.393482	40642.931186
 80+ 	183983.483269	96661.732388	87321.750881
Total	874744.818797	476728.909040	398015.909757
2015			
 0-4	109541.079290	54688.182611	54852.896679
 5-9	11655.083424	5874.102802	5780.980622
 10-14 	8727.188844	5069.623111	3657.565733
 15-19 	11069.602318	6003.195827	5066.406491
 20-24 	13121.458594	7186.250968	5935.207626
 25-29 	14715.792198	7898.297711	6817.494487
 30-34 	16613.073039	9075.094375	7537.978665
 35-39 	18782.613394	10140.757187	8641.856207
 40-44 	24073.391704	13034.201811	11039.189893
 45-49 	32916.785743	18866.972881	14049.812862
 50-54 	45879.453028	28017.321370	17862.131658
 55-59 	51727.141943	30737.139572	20990.002371
 60-64 	66752.467666	39737.901892	27014.565774
 65-69 	72448.112143	40638.742988	31809.369155
 70-74 	97886.273328	52328.548675	45557.724654
 75-79 	90944.840352	49311.795573	41633.044779
 80+ 	188387.167938	98740.640874	89646.527064
Total	875241.524947	477348.770228	397892.754719
2016			
 0-4	103271.236104	51738.937568	51532.298537
 5-9	11121.553039	5658.792936	5462.760103
 10-14 	8283.358238	4862.151391	3421.206847
 15-19 	10660.983128	5862.310301	4798.672827
 20-24 	12780.465916	7112.724176	5667.741740
 25-29 	14443.215674	7897.370492	6545.845182
 30-34 	16385.149906	9088.440700	7296.709206
 35-39 	18759.633024	10240.646819	8518.986205
 40-44 	24295.739448	13227.657550	11068.081898
 45-49 	32577.663071	18646.359942	13931.303129
 50-54 	46551.347763	28401.794007	18149.553755
 55-59 	53681.601984	31679.210638	22002.391345
 60-64 	68049.100854	40396.350991	27652.749863
 65-69 	72631.242469	40921.112036	31710.130434
 70-74 	97718.556910	51956.652008	45761.904902
 75-79 	92245.276116	49516.756591	42728.519525
 80+ 	192889.507912	100870.177562	92019.330350
Total	876345.631556	478077.445707	398268.185849
2017			
 0-4	97381.931165	48919.979433	48461.951732
 5-9	10640.969569	5449.278072	5191.691497
 10-14 	7898.010392	4666.515320	3231.495073
 15-19 	10293.294547	5708.364560	4584.929987
 20-24 	12493.604071	7022.163608	5471.440463
 25-29 	14239.637752	7882.695957	6356.941796
 30-34 	16224.924877	9095.331228	7129.593648
 35-39 	18749.376963	10309.224688	8440.152275
 40-44 	24500.375354	13384.438457	11115.936897
 45-49 	32351.802649	18468.471103	13883.331546
 50-54 	47240.471033	28790.902851	18449.568182
 55-59 	55590.271410	32635.656209	22954.615201
 60-64 	69869.610015	41294.438716	28575.171298
 65-69 	73107.667779	41434.968589	31672.699190
 70-74 	97465.079737	51755.879458	45709.200279
 75-79 	93646.834103	49823.673743	43823.160359
 80+ 	197572.593727	103124.572333	94448.021394
Total	879266.455142	479766.554325	399499.900817
2018			
 0-4	91812.878137	46176.476798	45636.401338
 5-9	10190.038101	5229.004986	4961.033115
 10-14 	7570.262745	4485.088170	3085.174575
 15-19 	9949.155129	5537.125029	4412.030100
 20-24 	12265.219717	6915.341813	5349.877904
 25-29 	14088.790160	7852.655058	6236.135102
 30-34 	16123.712340	9096.725316	7026.987024
 35-39 	18747.814757	10346.964162	8400.850595
 40-44 	24767.064509	13554.192803	11212.871706
 45-49 	32232.419786	18325.999246	13906.420541
 50-54 	47671.060680	29002.162224	18668.898456
 55-59 	57344.608712	33549.283211	23795.325500
 60-64 	72253.035858	42475.999997	29777.035860
 65-69 	73846.692917	42132.759121	31713.933796
 70-74 	97225.502809	51797.813814	45427.688996
 75-79 	94923.051657	50177.997892	44745.053765
 80+ 	202467.785444	105536.536713	96931.248731
Total	883479.093457	482192.126354	401286.967104
2019			
 0-4	86493.692075	43517.748323	42975.943752
 5-9	9753.644240	5001.335241	4752.308999
 10-14 	7288.934548	4322.103597	2966.830951
 15-19 	9731.358449	5351.470609	4379.887840
 20-24 	12161.646974	6797.826436	5363.820538
 25-29 	13951.351435	7809.860531	6141.490903
 30-34 	16050.764098	9100.693767	6950.070330
 35-39 	18729.571175	10362.590848	8366.980327
 40-44 	25039.862847	13718.135639	11321.727208
 45-49 	32548.992537	18442.321138	14106.671399
 50-54 	47365.005738	28715.057811	18649.947927
 55-59 	58938.493279	34399.023238	24539.470041
 60-64 	75073.892889	43868.619766	31205.273123
 65-69 	74819.275538	42927.817450	31891.458088
 70-74 	97059.370527	52055.344893	45004.025635
 75-79 	95873.918284	50481.536910	45392.381374
 80+ 	207595.056903	108062.340203	99532.716701
Total	888474.831534	484933.826400	403541.005135
2020			
 0-4	81403.901953	40983.048407	40420.853546
 5-9	9334.001587	4780.559966	4553.441621
 10-14 	7039.339415	4174.188298	2865.151117
 15-19 	9491.185275	5146.879893	4344.305382
 20-24 	12027.609932	6657.900838	5369.709093
 25-29 	13792.372155	7743.673841	6048.698314
 30-34 	15964.416272	9089.641533	6874.774738
 35-39 	18676.185147	10355.333552	8320.851594
 40-44 	25268.063187	13852.640571	11415.422616
 45-49 	32597.236670	18394.603647	14202.633024
 50-54 	47786.509335	28894.269452	18892.239883
 55-59 	60469.966794	35244.298136	25225.668658
 60-64 	78171.365594	45404.960300	32766.405294
 65-69 	76190.408321	43870.209158	32320.199163
 70-74 	97108.029059	52554.657701	44553.371357
 75-79 	96479.541002	50725.720453	45753.820549
 80+ 	213104.035087	110716.513583	102387.521504
Total	894904.166785	488589.099330	406315.067454
2021			
 0-4	76716.771434	38702.508323	38014.263112
 5-9	8963.581926	4594.443570	4369.138356
 10-14 	6821.676049	4044.347608	2777.328441
 15-19 	9267.893285	4957.497751	4310.395534
 20-24 	11907.310715	6525.958994	5381.351721
 25-29 	13656.308282	7683.711790	5972.596493
 30-34 	15909.464452	9093.435639	6816.028812
 35-39 	18653.630355	10370.560531	8283.069824
 40-44 	25480.050169	13979.394596	11500.655573
 45-49 	33116.011839	18657.652337	14458.359502
 50-54 	47398.520452	28516.031936	18882.488516
 55-59 	61533.368407	35813.436762	25719.931646
 60-64 	81360.205822	47016.598866	34343.606956
 65-69 	78015.761599	44955.363084	33060.398515
 70-74 	97690.196854	53405.951251	44284.245603
 75-79 	96746.130517	50913.454698	45832.675820
 80+ 	219067.737706	113483.826314	105583.911392
Total	902304.619865	492714.174050	409590.445814
2022			
 0-4	72471.477093	36730.998814	35740.478279
 5-9	8639.240303	4450.969424	4188.270879
 10-14 	6613.136375	3923.380206	2689.756169
 15-19 	9061.372743	4781.178764	4280.193979
 20-24 	11768.836878	6378.500445	5390.336433
 25-29 	13487.182802	7606.507591	5880.675211
 30-34 	15829.282082	9085.701982	6743.580100
 35-39 	18609.242635	10385.668798	8223.573838
 40-44 	25608.402422	14065.767201	11542.635221
 45-49 	33519.847342	18866.654020	14653.193322
 50-54 	47140.116584	28218.262737	18921.853847
 55-59 	62611.624754	36396.909881	26214.714873
 60-64 	84449.644043	48601.119436	35848.524607
 65-69 	80490.332865	46289.065582	34201.267283
 70-74 	98682.848365	54473.526407	44209.321958
 75-79 	96968.613915	51175.124232	45793.489683
 80+ 	225443.825893	116332.547782	109111.278111
Total	911395.027096	497761.883303	413633.143793
2023			
 0-4	68627.380965	35089.708449	33537.672517
 5-9	8352.966984	4352.360754	4000.606230
 10-14 	6408.980447	3809.862902	2599.117545
 15-19 	8887.214742	4629.161653	4258.053089
 20-24 	11607.447125	6216.014481	5391.432643
 25-29 	13291.740559	7517.054568	5774.685991
 30-34 	15728.683150	9069.640639	6659.042512
 35-39 	18556.874234	10409.336850	8147.537384
 40-44 	25665.883831	14121.128587	11544.755244
 45-49 	33957.054920	19120.760721	14836.294199
 50-54 	47000.104300	27998.720820	19001.383480
 55-59 	63351.900641	36780.580975	26571.319666
 60-64 	87310.884004	50094.834701	37216.049304
 65-69 	83677.057539	47935.611640	35741.445899
 70-74 	100101.566604	55719.545551	44382.021053
 75-79 	97322.238824	51609.799301	45712.439522
 80+ 	232073.436752	119219.794237	112853.642515
Total	921921.415621	503693.916828	418227.498793
2024			
 0-4	65120.238709	33705.558111	31414.680597
 5-9	8090.394210	4280.174761	3810.219449
 10-14 	6208.077303	3700.123877	2507.953427
 15-19 	8750.076483	4501.631113	4248.445369
 20-24 	11424.337736	6041.014991	5383.322745
 25-29 	13082.201750	7418.252968	5663.948782
 30-34 	15615.995597	9043.351133	6572.644464
 35-39 	18511.983321	10444.986271	8066.997049
 40-44 	25670.067354	14153.413924	11516.653430
 45-49 	34386.640996	19387.195809	14999.445186
 50-54 	47494.554913	28201.584204	19292.970709
 55-59 	63137.652945	36559.278393	26578.374552
 60-64 	89982.504784	51522.200684	38460.304100
 65-69 	87464.924206	49870.861168	37594.063038
 70-74 	101972.042135	57126.883846	44845.158289
 75-79 	97911.938822	52285.878770	45626.060051
 80+ 	238734.717894	122113.051512	116621.666382
Total	933558.349156	510355.441536	423202.907620
2025			
 0-4	61953.953484	32497.567125	29456.386359
 5-9	7851.795382	4219.075090	3632.720292
 10-14 	6011.563787	3591.951720	2419.612067
 15-19 	8698.075284	4444.995542	4253.079743
 20-24 	11223.984678	5857.134699	5366.849979
 25-29 	12854.320109	7306.092467	5548.227643
 30-34 	15486.932788	9002.908917	6484.023871
 35-39 	18460.214690	10476.470417	7983.744273
 40-44 	25629.312756	14165.657989	11463.654767
 45-49 	34764.455021	19630.721469	15133.733552
 50-54 	47533.379872	28104.135243	19429.244629
 55-59 	63938.218287	36946.274004	26991.944283
 60-64 	92582.407379	52943.707379	39638.700000
 65-69 	91643.649461	51993.105715	39650.543746
 70-74 	104451.932514	58727.561402	45724.371111
 75-79 	98793.996087	53210.749872	45583.246215
 80+ 	245316.599711	125001.556392	120315.043319
Total	947194.791292	518119.665442	429075.125850
2026			
 0-4	59110.555198	31372.431639	27738.123559
 5-9	7631.890779	4151.064927	3480.825852
 10-14 	5821.433685	3484.160679	2337.273007
 15-19 	8734.519438	4465.067004	4269.452434
 20-24 	11019.636804	5672.421312	5347.215493
 25-29 	12751.478692	7176.742664	5574.736028
 30-34 	15329.383288	8938.562409	6390.820878
 35-39 	18390.576091	10492.719427	7897.856665
 40-44 	25552.324114	14161.282361	11391.041753
 45-49 	35055.579871	19822.662821	15232.917049
 50-54 	48278.245125	28490.559273	19787.685852
 55-59 	63607.092141	36602.529863	27004.562279
 60-64 	94390.415004	53882.932209	40507.482794
 65-69 	95948.943851	54183.910438	41765.033413
 70-74 	107530.573548	60467.548462	47063.025086
 75-79 	100191.349600	54466.870354	45724.479245
 80+ 	251704.451811	127881.055766	123823.396044
Total	961048.449040	525712.521610	435335.927430
2027			
 0-4	56532.136288	30210.838285	26321.298002
 5-9	7422.206891	4057.847835	3364.359056
 10-14 	5640.505245	3376.342616	2264.162629
 15-19 	8788.700370	4494.181686	4294.518684
 20-24 	10828.969910	5497.382381	5331.587529
 25-29 	12621.378965	7022.632706	5598.746258
 30-34 	15136.071855	8844.983371	6291.088484
 35-39 	18292.311057	10481.278449	7811.032608
 40-44 	25433.484321	14135.328810	11298.155511
 45-49 	35221.377589	19932.896868	15288.480722
 50-54 	48811.073056	28744.791682	20066.281374
 55-59 	63439.957586	36322.423352	27117.534234
 60-64 	96143.004184	54767.012298	41375.991887
 65-69 	100112.362661	56285.832452	43826.530209
 70-74 	111422.570800	62462.252490	48960.318310
 75-79 	101937.110321	55911.226127	46025.884194
 80+ 	258255.344686	130959.067660	127296.277026
Total	976038.565784	533506.319067	442532.246717
