south_africa_test	Total	Male	Female
 5-9	21089.253626	10656.245231	10433.008396
 10-14 	13200.332238	6657.834999	6542.497240
 15-19 	21063.906265	10634.860106	10429.046160
 20-24 	22497.381351	11480.401171	11016.980180
 25-29 	20393.758611	10532.215603	9861.543008
 30-34 	16882.361232	8789.020754	8093.340478
 35-39 	14799.409673	7755.676643	7043.733030
 40-44 	13402.508819	7089.731913	6312.776906
 45-49 	11400.639789	6122.007187	5278.632602
 50-54 	8624.873276	4669.658985	3955.214291
 55-59 	6515.927882	3444.305661	3071.622221
 60-64 	5450.768707	2657.443812	2793.324895
 65-69 	4768.102930	2026.609688	2741.493241
 70-74 	4101.048589	1482.171582	2618.877007
 75-79 	2947.479637	916.114143	2031.365495
 80+ 	2713.951732	648.319159	2065.632573
Total	209306.534324	105403.903487	103902.630837
2031			
 0-4	19328.004304	9779.113327	9548.890977
 5-9	20956.865326	10591.994796	10364.870530
 10-14 	13092.892017	6605.642886	6487.249131
 15-19 	20978.278316	10595.217964	10383.060352
 20-24 	22468.002059	11470.387105	10997.614954
 25-29 	20385.126382	10529.718794	9855.407588
 30-34 	17122.640979	8909.628784	8213.012196
 35-39 	14749.574672	7720.583389	7028.991283
 40-44 	13407.954100	7073.016046	6334.938055
 45-49 	11660.227124	6239.588507	5420.638618
 50-54 	8985.202910	4856.029244	4129.173667
 55-59 	6679.471335	3554.524886	3124.946449
 60-64 	5455.339787	2694.232608	2761.107179
 65-69 	4699.145199	2035.157801	2663.987398
 70-74 	4051.107108	1482.120302	2568.986806
 75-79 	2990.208876	932.824522	2057.384354
 80+ 	2796.220495	667.893533	2128.326962
Total	209806.260990	105737.674494	104068.586496
2032			
 0-4	19223.860876	9728.340179	9495.520697
 5-9	20852.888893	10541.983342	10310.905551
 10-14 	13006.689123	6564.094355	6442.594768
 15-19 	20896.135401	10557.552961	10338.582440
 20-24 	22502.794330	11493.090427	11009.703903
 25-29 	20308.233968	10493.237008	9814.996960
 30-34 	17417.548771	9060.159539	8357.389232
 35-39 	14741.627772	7708.585318	7033.042453
 40-44 	13410.193701	7057.792366	6352.401335
 45-49 	11873.340428	6331.281443	5542.058985
 50-54 	9359.530720	5046.226596	4313.304124
 55-59 	6896.961843	3683.221256	3213.740587
 60-64 	5482.153567	2743.049984	2739.103583
 65-69 	4654.776810	2054.508394	2600.268416
 70-74 	3991.666857	1482.548383	2509.118475
 75-79 	3023.636856	947.460262	2076.176594
 80+ 	2883.181765	689.050317	2194.131447
Total	210525.221684	106182.182134	104343.039550
2033			
 0-4	19137.254877	9686.383933	9450.870944
 5-9	20771.983640	10503.525461	10268.458179
 10-14 	12938.964111	6531.803166	6407.160946
 15-19 	20839.513595	10532.788110	10306.725485
 20-24 	22489.410300	11490.792267	10998.618032
 25-29 	20277.541320	10481.723235	9795.818085
 30-34 	17715.666169	9213.861386	8501.804782
 35-39 	14795.789323	7730.244511	7065.544812
 40-44 	13412.265961	7045.451690	6366.814270
 45-49 	12037.208958	6396.448034	5640.760924
 50-54 	9734.240725	5233.617555	4500.623170
 55-59 	7161.547795	3831.780834	3329.766960
 60-64 	5540.726999	2805.436724	2735.290275
 65-69 	4632.488155	2081.462264	2551.025891
 70-74 	3928.469196	1484.985523	2443.483673
 75-79 	3045.819024	960.029967	2085.789056
 80+ 	2973.197704	711.252578	2261.945126
Total	211432.087851	106721.587240	104710.500611
2034			
 0-4	19063.803025	9651.036430	9412.766596
 5-9	20709.486182	10474.276898	10235.209284
 10-14 	12887.604583	6507.706583	6379.898000
 15-19 	20788.321343	10510.654433	10277.666910
 20-24 	22548.994984	11526.406634	11022.588350
 25-29 	20231.014736	10462.326142	9768.688594
 30-34 	17948.613693	9335.483789	8613.129903
 35-39 	14926.434862	7792.673301	7133.761561
 40-44 	13417.219376	7037.273528	6379.945848
 45-49 	12160.720664	6440.827708	5719.892956
 50-54 	10093.637348	5410.375303	4683.262045
 55-59 	7470.329308	3998.887902	3471.441406
 60-64 	5643.070281	2888.619806	2754.450475
 65-69 	4620.610265	2108.640614	2511.969651
 70-74 	3869.088698	1491.536380	2377.552318
 75-79 	3054.667844	970.543448	2084.124396
 80+ 	3064.784952	734.033132	2330.751819
Total	212498.402144	107341.302032	105157.100112
2035			
 0-4	19000.395107	9620.727271	9379.667836
 5-9	20661.007442	10452.032887	10208.974554
 10-14 	12849.518407	6490.244809	6359.273598
 15-19 	20745.080809	10492.441699	10252.639110
 20-24 	22588.383936	11551.653463	11036.730473
 25-29 	20237.247183	10470.565492	9766.681691
 30-34 	18109.563877	9421.103851	8688.460026
 35-39 	15142.807567	7900.842259	7241.965308
 40-44 	13427.975184	7034.229671	6393.745514
 45-49 	12250.972670	6469.160145	5781.812525
 50-54 	10424.274441	5569.707821	4854.566620
 55-59 	7815.947566	4181.039508	3634.908058
 60-64 	5773.670937	2975.826940	2797.843997
 65-69 	4634.462674	2152.480604	2481.982070
 70-74 	3821.109493	1504.514867	2316.594627
 75-79 	3049.396740	979.277417	2070.119323
 80+ 	3156.891263	757.142263	2399.749001
Total	213688.705297	108022.990968	105665.714329
2036			
 0-4	18943.683480	9593.759874	9349.923607
 5-9	20622.438453	10434.727924	10187.710529
 10-14 	12821.775854	6477.940084	6343.835770
 15-19 	20713.985291	10480.276999	10233.708292
 20-24 	22599.413667	11562.066467	11037.347199
 25-29 	20303.766576	10510.618631	9793.147945
 30-34 	18188.798217	9465.003450	8723.794767
 35-39 	15432.123951	8048.701555	7383.422396
 40-44 	13449.887316	7038.421685	6411.465630
