Incidence per 1000 by age and sex			
	Vietnam		
 	Total	Male	Female
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.031849	0.039196	0.024361
 20-24 	0.032679	0.044833	0.020377
 25-29 	0.031721	0.046063	0.017328
 30-34 	0.031109	0.049259	0.013170
 35-39 	0.028450	0.044828	0.012429
 40-44 	0.022523	0.036154	0.010133
 45-49 	0.014263	0.022893	0.006615
 50-54 	0.005856	0.009617	0.002594
 55-59 	0.002333	0.004629	0.000382
 60-64 	0.000223	0.000490	0.000006
 65-69 	0.000060	0.000130	0.000007
 70-74 	0.000004	0.000008	0.000000
 75-79 	0.000058	0.000131	0.000013
 80+ 	0.000000	0.000000	0.000000
Total	0.015228	0.021937	0.008726
1991			
 0-4	0.004922	0.004945	0.004898
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.047834	0.057623	0.037853
 20-24 	0.048848	0.065852	0.031641
 25-29 	0.047319	0.067661	0.026900
 30-34 	0.046235	0.072351	0.020440
 35-39 	0.042305	0.065789	0.019293
 40-44 	0.033741	0.053250	0.015766
 45-49 	0.021254	0.033658	0.010285
 50-54 	0.008741	0.014165	0.004041
 55-59 	0.003412	0.006751	0.000581
 60-64 	0.000333	0.000730	0.000010
 65-69 	0.000088	0.000191	0.000010
 70-74 	0.000005	0.000012	0.000000
 75-79 	0.000084	0.000191	0.000020
 80+ 	0.000000	0.000000	0.000000
Total	0.022875	0.032475	0.013565
1992			
 0-4	0.007360	0.007393	0.007324
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.069205	0.082277	0.055866
 20-24 	0.070496	0.094009	0.046708
 25-29 	0.068198	0.096592	0.039691
 30-34 	0.066492	0.103281	0.030154
 35-39 	0.060817	0.093866	0.028462
 40-44 	0.048810	0.076083	0.023284
 45-49 	0.030614	0.048105	0.015197
 50-54 	0.012618	0.020276	0.005983
 55-59 	0.004855	0.009592	0.000848
 60-64 	0.000477	0.001046	0.000014
 65-69 	0.000126	0.000272	0.000015
 70-74 	0.000008	0.000018	0.000001
 75-79 	0.000121	0.000270	0.000029
 80+ 	0.000000	0.000000	0.000000
Total	0.033180	0.046707	0.020056
1993			
 0-4	0.010882	0.010927	0.010834
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.100728	0.117353	0.083746
 20-24 	0.102291	0.134153	0.070071
 25-29 	0.098763	0.137843	0.059519
 30-34 	0.095998	0.147383	0.045213
 35-39 	0.087756	0.133909	0.042679
 40-44 	0.070739	0.108476	0.034903
 45-49 	0.044379	0.068850	0.022843
 50-54 	0.018280	0.028993	0.008996
 55-59 	0.006947	0.013674	0.001270
 60-64 	0.000674	0.001475	0.000022
 65-69 	0.000180	0.000388	0.000023
 70-74 	0.000011	0.000025	0.000001
 75-79 	0.000174	0.000386	0.000044
 80+ 	0.000000	0.000000	0.000000
Total	0.048349	0.067147	0.030105
1994			
 0-4	0.016014	0.016073	0.015953
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.147824	0.167708	0.127488
 20-24 	0.149533	0.191872	0.106737
 25-29 	0.144019	0.197164	0.090652
 30-34 	0.139446	0.210805	0.068859
 35-39 	0.127425	0.191476	0.065001
 40-44 	0.102936	0.154878	0.053109
 45-49 	0.065000	0.099034	0.034935
 50-54 	0.026631	0.041520	0.013734
 55-59 	0.010008	0.019587	0.001944
 60-64 	0.000939	0.002051	0.000033
 65-69 	0.000257	0.000550	0.000034
 70-74 	0.000015	0.000035	0.000001
 75-79 	0.000253	0.000554	0.000067
 80+ 	0.000000	0.000000	0.000000
Total	0.070975	0.096807	0.045897
1995			
 0-4	0.023320	0.023397	0.023239
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.216194	0.242499	0.189253
 20-24 	0.218415	0.277687	0.158482
 25-29 	0.210112	0.285367	0.134625
 30-34 	0.203176	0.305091	0.102268
 35-39 	0.185558	0.277010	0.096529
 40-44 	0.149942	0.223722	0.078794
 45-49 	0.095622	0.144335	0.052155
 50-54 	0.038869	0.060163	0.020454
 55-59 	0.014555	0.028410	0.002911
 60-64 	0.001311	0.002863	0.000049
 65-69 	0.000369	0.000789	0.000050
 70-74 	0.000022	0.000050	0.000002
 75-79 	0.000371	0.000809	0.000101
