Workshop_1_Demo		Total	Male	Female
1970		
 35-39 	2822877.250000	1405305.000000	1417572.250000
 40-44 	2616036.500000	1227046.000000	1388990.375000
 45-49 	2314166.000000	1047617.687500	1266548.250000
 50-54 	1870731.625000	831019.875000	1039711.625000
 55-59 	1520552.875000	667816.250000	852736.562500
 60-64 	1120139.625000	483190.250000	636949.437500
 65-69 	772632.375000	327382.875000	445249.562500
 70-74 	478139.437500	194657.359375	283482.093750
 75-79 	272511.218750	99069.242188	173441.968750
 80+ 	178080.562500	56178.976563	121901.585938
Total	44350604.000000	21677232.000000	22673374.000000
2001			
 0-4	4824921.000000	2431999.000000	2392921.500000
 5-9	4705484.000000	2362608.750000	2342875.250000
 10-14 	4801495.000000	2400613.750000	2400881.500000
 15-19 	4771613.500000	2385915.250000	2385698.000000
 20-24 	4425084.000000	2220964.000000	2204119.750000
 25-29 	3884086.250000	1988185.750000	1895900.500000
 30-34 	3322475.000000	1713756.250000	1608718.500000
 35-39 	2864205.750000	1435301.250000	1428904.375000
 40-44 	2640506.000000	1242985.375000	1397520.500000
 45-49 	2369467.000000	1070853.875000	1298613.000000
 50-54 	1929387.750000	853098.625000	1076289.125000
 55-59 	1567923.875000	684839.937500	883084.000000
 60-64 	1166446.375000	499235.468750	667210.875000
 65-69 	809432.500000	338815.375000	470617.093750
 70-74 	508582.937500	204742.765625	303840.156250
 75-79 	296758.656250	107479.968750	189278.687500
 80+ 	193311.000000	60687.148438	132623.859375
Total	45081180.000000	22002082.000000	23079096.000000
2002			
 0-4	4874134.000000	2456768.750000	2417365.250000
 5-9	4691638.500000	2356975.000000	2334663.500000
 10-14 	4790073.000000	2394946.250000	2395126.750000
 15-19 	4827763.000000	2413371.500000	2414391.750000
 20-24 	4531919.000000	2269774.000000	2262144.750000
 25-29 	3979550.500000	2026611.000000	1952939.500000
 30-34 	3399867.500000	1751432.750000	1648434.625000
 35-39 	2911529.500000	1467831.875000	1443697.750000
 40-44 	2652254.250000	1256455.750000	1395798.500000
 45-49 	2409553.000000	1088935.250000	1320617.875000
 50-54 	1987202.000000	876250.312500	1110951.750000
 55-59 	1606126.375000	698279.625000	907846.750000
 60-64 	1213704.125000	516261.093750	697443.000000
 65-69 	845278.250000	349642.968750	495635.312500
 70-74 	541215.125000	215113.296875	326101.875000
 75-79 	322433.500000	116312.375000	206121.125000
 80+ 	213580.281250	66408.234375	147172.046875
Total	45797824.000000	22321370.000000	23476452.000000
2003			
 0-4	4934252.500000	2486922.750000	2447329.750000
 5-9	4685274.500000	2354893.500000	2330380.750000
 10-14 	4776059.000000	2388707.000000	2387352.250000
 15-19 	4867642.000000	2432303.000000	2435338.750000
 20-24 	4633142.000000	2317528.000000	2315613.750000
 25-29 	4076390.500000	2066634.000000	2009756.500000
 30-34 	3470950.000000	1784929.750000	1686020.250000
 35-39 	2962528.250000	1500737.875000	1461790.375000
 40-44 	2655456.000000	1267655.750000	1387800.250000
 45-49 	2438275.000000	1102418.250000	1335856.625000
 50-54 	2044176.625000	899504.625000	1144672.000000
 55-59 	1639144.375000	709243.875000	929900.500000
 60-64 	1260563.250000	533228.687500	727334.500000
 65-69 	878763.750000	359374.937500	519388.843750
 70-74 	573398.312500	225034.562500	348363.781250
 75-79 	346522.312500	124516.859375	222005.437500
 80+ 	238741.375000	73501.335938	165240.046875
Total	46481280.000000	22627134.000000	23854144.000000
2004			
 0-4	4998832.000000	2519239.500000	2479592.500000
 5-9	4697045.500000	2361702.500000	2335342.750000
 10-14 	4760352.500000	2382202.750000	2378149.750000
 15-19 	4886454.500000	2440345.500000	2446109.250000
 20-24 	4725754.000000	2362386.000000	2363367.750000
 25-29 	4178435.000000	2111086.250000	2067348.750000
 30-34 	3537110.500000	1816210.000000	1720900.500000
 35-39 	3011894.250000	1530493.875000	1481400.250000
 40-44 	2654348.250000	1277196.250000	1377152.125000
 45-49 	2457341.500000	1112060.000000	1345281.375000
 50-54 	2095771.250000	920410.625000	1175360.500000
 55-59 	1671967.250000	719869.375000	952097.812500
 60-64 	1304636.000000	548726.125000	755909.937500
 65-69 	910416.625000	368337.718750	542078.875000
 70-74 	603878.062500	234190.843750	369687.187500
 75-79 	368665.125000	131830.046875	236835.062500
 80+ 	268881.937500	82194.460938	186687.468750
Total	47131784.000000	22918482.000000	24213302.000000
2005			
 0-4	5063548.000000	2551506.000000	2512042.000000
 5-9	4736471.000000	2382085.750000	2354385.500000
 10-14 	4743210.000000	2375305.000000	2367905.250000
 15-19 	4886010.500000	2438677.000000	2447333.500000
 20-24 	4809062.500000	2403279.750000	2405783.000000
 25-29 	4289992.500000	2162011.500000	2127981.000000
 30-34 	3611433.000000	1853210.500000	1758222.375000
 35-39 	3051307.500000	1551070.500000	1500237.250000
 40-44 	2655607.000000	1286552.375000	1369054.750000
 45-49 	2470840.000000	1119223.250000	1351616.875000
 50-54 	2141592.250000	938013.125000	1203579.125000
 55-59 	1709250.500000	731955.375000	977295.125000
 60-64 	1344894.250000	561956.812500	782937.375000
 65-69 	941793.937500	377171.718750	564622.250000
 70-74 	632477.500000	242562.234375	389915.281250
 75-79 	390236.593750	138682.265625	251554.328125
 80+ 	304373.437500	92652.593750	211720.843750
Total	47782100.000000	23205916.000000	24576186.000000
2006			
 0-4	5118316.500000	2578763.000000	2539553.250000
 5-9	4806444.000000	2417473.750000	2388970.000000
 10-14 	4723938.000000	2367480.250000	2356457.500000
 15-19 	4868726.500000	2429010.250000	2439716.250000
 20-24 	4877394.500000	2436813.750000	2440580.500000
 25-29 	4407776.500000	2217781.000000	2189995.500000
 30-34 	3689302.000000	1888835.250000	1800466.625000
 35-39 	3087374.500000	1572311.750000	1515062.750000
 40-44 	2660962.750000	1297040.875000	1363921.750000
 45-49 	2477791.000000	1124283.375000	1353507.750000
 50-54 	2182489.500000	952859.000000	1229630.625000
 55-59 	1751060.000000	745875.062500	1005185.000000
 60-64 	1380665.250000	572833.375000	807831.875000
 65-69 	973765.125000	386328.031250	587437.125000
 70-74 	657804.000000	249535.562500	408268.406250
 75-79 	410387.531250	144895.640625	265491.906250
 80+ 	341665.625000	103687.000000	237978.609375
Total	48415864.000000	23485806.000000	24930056.000000
2007			
 0-4	5158121.000000	2598511.500000	2559609.250000
 5-9	4901474.500000	2465240.500000	2436234.250000
 10-14 	4705073.500000	2359703.750000	2345370.000000
 15-19 	4841396.000000	2415143.750000	2426252.000000
 20-24 	4928822.500000	2461444.500000	2467378.000000
 25-29 	4527132.000000	2275166.750000	2251965.250000
 30-34 	3773737.000000	1927735.125000	1846001.750000
 35-39 	3126933.000000	1594511.375000	1532421.750000
 40-44 	2674937.250000	1310958.625000	1363978.750000
 45-49 	2479218.500000	1128214.125000	1351004.250000
 50-54 	2219882.250000	965688.375000	1254193.750000
 55-59 	1799309.875000	762658.625000	1036651.312500
 60-64 	1411367.750000	581304.250000	830063.500000
 65-69 	1008406.250000	396725.312500	611680.937500
 70-74 	680014.000000	255123.109375	424890.937500
 75-79 	429927.312500	150734.265625	279193.000000
 80+ 	377644.593750	114210.164063	263434.437500
Total	49043396.000000	23763074.000000	25280324.000000
2008			
 0-4	5177016.500000	2607849.250000	2569167.500000
 5-9	5006532.500000	2517920.000000	2488612.500000
 10-14 	4693953.500000	2355482.250000	2338471.000000
 15-19 	4810045.500000	2400257.750000	2409787.500000
 20-24 	4956769.000000	2473763.750000	2483005.500000
 25-29 	4637199.000000	2328377.000000	2308822.250000
 30-34 	3867970.750000	1971581.000000	1896389.625000
 35-39 	3168875.500000	1617919.625000	1550955.750000
 40-44 	2697442.000000	1329162.000000	1368280.000000
 45-49 	2473620.000000	1131534.250000	1342085.625000
 50-54 	2250801.500000	976353.000000	1274448.500000
 55-59 	1850458.250000	781241.125000	1069217.125000
 60-64 	1438996.500000	588654.312500	850342.187500
 65-69 	1045363.750000	408240.156250	637123.562500
 70-74 	699612.250000	259516.265625	440096.000000
 75-79 	448012.125000	155826.390625	292185.718750
 80+ 	408070.562500	122704.875000	285365.687500
Total	49630740.000000	24026384.000000	25604356.000000
2009			
 0-4	5173641.000000	2606216.750000	2567424.000000
 5-9	5101507.500000	2565418.750000	2536089.000000
 10-14 	4700927.500000	2360034.500000	2340893.000000
 15-19 	4777099.000000	2385385.750000	2391713.500000
 20-24 	4954011.000000	2470515.000000	2483496.250000
 25-29 	4725626.000000	2371684.000000	2353942.000000
 30-34 	3966831.750000	2018562.000000	1948269.750000
 35-39 	3210318.750000	1642497.000000	1567821.625000
 40-44 	2719788.500000	1348228.000000	1371560.500000
 45-49 	2457673.000000	1133838.000000	1323835.000000
 50-54 	2268822.750000	983750.125000	1285072.500000
 55-59 	1896852.000000	798897.312500	1097954.750000
 60-64 	1466451.000000	596638.625000	869812.375000
 65-69 	1081844.000000	419756.843750	662087.187500
 70-74 	717424.562500	263073.468750	454351.093750
 75-79 	462837.375000	159461.515625	303375.843750
 80+ 	429868.187500	128106.804688	301761.375000
Total	50111524.000000	24252064.000000	25859460.000000
2010			
 0-4	5136872.500000	2589199.750000	2547672.750000
 5-9	5164347.000000	2597014.500000	2567332.250000
 10-14 	4734373.000000	2377560.750000	2356812.500000
 15-19 	4742529.000000	2370359.750000	2372169.250000
 20-24 	4915181.000000	2449986.250000	2465194.750000
 25-29 	4780887.000000	2399309.750000	2381577.500000
 30-34 	4066462.000000	2066542.125000	1999919.875000
 35-39 	3259140.750000	1673048.625000	1586092.250000
 40-44 	2728358.750000	1361678.875000	1366680.000000
 45-49 	2428223.250000	1136059.500000	1292163.875000
 50-54 	2266954.000000	987379.250000	1279574.625000
 55-59 	1932461.875000	813903.375000	1118558.500000
 60-64 	1494977.250000	606618.375000	888358.875000
 65-69 	1115313.625000	430311.312500	685002.250000
 70-74 	733022.687500	265619.781250	467402.906250
 75-79 	470484.531250	160223.343750	310261.187500
 80+ 	435319.250000	128268.257813	307051.000000
Total	50404908.000000	24413084.000000	25991824.000000
2011			
 0-4	5110724.000000	2576718.500000	2534005.250000
 5-9	5188522.000000	2609244.500000	2579277.250000
 10-14 	4797343.500000	2409544.750000	2387799.000000
 15-19 	4709497.000000	2356079.500000	2353417.250000
 20-24 	4865556.000000	2424177.000000	2441379.250000
 25-29 	4820067.000000	2417250.250000	2402816.500000
 30-34 	4172659.000000	2117128.000000	2055531.000000
 35-39 	3327379.000000	1708451.875000	1618927.125000
 40-44 	2747646.000000	1381650.125000	1365996.000000
 45-49 	2411483.000000	1143648.000000	1267835.000000
 50-54 	2258635.250000	990314.625000	1268320.625000
 55-59 	1964723.875000	827494.312500	1137229.500000
 60-64 	1529654.000000	619406.812500	910247.250000
 65-69 	1146465.750000	440211.093750	706254.625000
 70-74 	753600.062500	270190.125000	483409.937500
 75-79 	478416.937500	160600.671875	317816.250000
 80+ 	440232.468750	127976.218750	312256.250000
Total	50722604.000000	24580086.000000	26142518.000000
2012			
 0-4	5099736.000000	2571761.750000	2527974.250000
 5-9	5180005.500000	2605165.000000	2574840.750000
 10-14 	4883565.000000	2453021.500000	2430543.500000
 15-19 	4679649.500000	2343219.000000	2336430.250000
 20-24 	4809247.500000	2396027.250000	2413220.250000
 25-29 	4843544.500000	2425309.500000	2418235.000000
 30-34 	4289289.000000	2170817.750000	2118471.250000
 35-39 	3425378.500000	1755643.000000	1669735.500000
 40-44 	2789971.750000	1410714.000000	1379257.875000
 45-49 	2417660.750000	1160659.875000	1257000.750000
 50-54 	2249267.250000	994816.437500	1254450.875000
 55-59 	1996579.750000	840808.500000	1155771.250000
 60-64 	1572981.125000	635982.437500	936998.687500
 65-69 	1174646.250000	449124.375000	725521.875000
 70-74 	780328.375000	277342.375000	502986.000000
 75-79 	486829.437500	160817.562500	326011.875000
 80+ 	445947.781250	127801.429688	318146.343750
Total	51124628.000000	24779032.000000	26345596.000000
2013			
 0-4	5108765.500000	2576851.750000	2531913.750000
 5-9	5148500.000000	2589716.750000	2558783.000000
 10-14 	4979769.000000	2501408.500000	2478360.500000
 15-19 	4660918.500000	2335478.000000	2325440.750000
 20-24 	4758567.500000	2371598.250000	2386969.000000
 25-29 	4851098.000000	2424367.500000	2426730.750000
 30-34 	4406285.000000	2223649.750000	2182635.250000
 35-39 	3550374.750000	1813820.625000	1736554.000000
 40-44 	2852469.000000	1447601.250000	1404867.750000
 45-49 	2445585.500000	1186803.375000	1258782.000000
 50-54 	2240454.000000	1001811.125000	1238643.000000
 55-59 	2025822.875000	853456.937500	1172366.000000
 60-64 	1621577.500000	655010.750000	966566.750000
 65-69 	1201248.000000	457592.437500	743655.625000
 70-74 	811742.000000	286578.781250	525163.250000
 75-79 	496380.187500	161357.515625	335022.656250
 80+ 	453023.312500	128028.195313	324995.125000
Total	51612580.000000	25015132.000000	26597450.000000
2014			
 0-4	5100408.500000	2573135.000000	2527273.750000
 5-9	5117077.000000	2574604.250000	2542472.750000
 10-14 	5067204.500000	2545323.500000	2521881.000000
 15-19 	4663128.500000	2337839.750000	2325289.000000
 20-24 	4714968.000000	2351502.000000	2363466.000000
 25-29 	4836969.000000	2413142.500000	2423826.500000
 30-34 	4512045.000000	2271259.500000	2240785.250000
 35-39 	3690936.500000	1879594.875000	1811341.500000
 40-44 	2930536.000000	1491626.750000	1438909.000000
 45-49 	2487191.000000	1218434.750000	1268756.375000
 50-54 	2234467.750000	1012091.375000	1222376.500000
 55-59 	2049514.375000	865158.625000	1184355.750000
 60-64 	1669724.000000	674220.187500	995503.875000
 65-69 	1229529.000000	466985.468750	762543.562500
 70-74 	844806.437500	296681.562500	548124.875000
 75-79 	508024.562500	162731.390625	345293.156250
 80+ 	461125.531250	128501.695313	332623.843750
Total	52117656.000000	25262832.000000	26854822.000000
2015			
 0-4	5086813.000000	2566729.000000	2520084.000000
 5-9	5094157.500000	2563842.250000	2530315.000000
 10-14 	5128242.500000	2576017.750000	2552225.000000
 15-19 	4694600.500000	2354379.500000	2340220.750000
 20-24 	4679040.500000	2335592.750000	2343447.750000
 25-29 	4804057.500000	2393737.750000	2410319.750000
 30-34 	4598903.000000	2310040.500000	2288862.750000
 35-39 	3835624.500000	1947640.250000	1887984.375000
 40-44 	3026641.000000	1544984.000000	1481657.000000
 45-49 	2529481.000000	1248009.250000	1281471.625000
 50-54 	2233913.500000	1026100.062500	1207813.500000
 55-59 	2065155.750000	875576.812500	1189579.000000
 60-64 	1713268.500000	691865.937500	1021402.500000
 65-69 	1261796.250000	478230.500000	783565.750000
 70-74 	876809.187500	306569.906250	570239.250000
 75-79 	522690.843750	165357.468750	357333.375000
 80+ 	469988.250000	129108.023438	340880.218750
Total	52621184.000000	25513782.000000	27107402.000000
2016			
 0-4	5063068.000000	2555267.250000	2507801.000000
 5-9	5083403.000000	2559195.750000	2524207.000000
 10-14 	5152642.000000	2588474.500000	2564167.500000
 15-19 	4756193.500000	2385669.000000	2370524.250000
 20-24 	4647421.500000	2321985.750000	2325435.500000
 25-29 	4757720.500000	2369136.750000	2388583.750000
 30-34 	4660555.000000	2336679.500000	2323875.250000
 35-39 	3975470.000000	2013426.750000	1962043.250000
 40-44 	3132347.500000	1598688.000000	1533659.625000
 45-49 	2575546.500000	1281060.000000	1294486.250000
 50-54 	2240425.500000	1043739.937500	1196685.625000
 55-59 	2071502.000000	884445.500000	1187056.375000
 60-64 	1751815.500000	707697.062500	1044118.437500
 65-69 	1298124.000000	491335.312500	806788.750000
 70-74 	906176.125000	315650.062500	590526.125000
 75-79 	540874.500000	169394.781250	371479.718750
 80+ 	479500.375000	129774.828125	349725.562500
Total	53092784.000000	25751620.000000	27341164.000000
2017			
 0-4	5026715.000000	2537452.000000	2489263.000000
 5-9	5080637.000000	2558607.250000	2522030.000000
 10-14 	5146518.000000	2585748.250000	2560770.000000
 15-19 	4841919.500000	2428874.250000	2413045.500000
 20-24 	4620837.000000	2310628.500000	2310208.750000
 25-29 	4708705.500000	2344482.250000	2364223.500000
 30-34 	4699106.000000	2351894.250000	2347211.750000
 35-39 	4109099.250000	2076197.250000	2032902.000000
 40-44 	3248333.500000	1655934.250000	1592399.125000
 45-49 	2631151.500000	1317314.000000	1313837.375000
 50-54 	2257943.500000	1066158.625000	1191785.000000
 55-59 	2070174.625000	892514.125000	1177660.500000
 60-64 	1785889.375000	721914.750000	1063974.625000
 65-69 	1339562.125000	506745.531250	832816.562500
 70-74 	931979.750000	323594.125000	608385.625000
 75-79 	563032.312500	174994.093750	388038.187500
 80+ 	489745.562500	130520.773438	359224.781250
Total	53551352.000000	25983574.000000	27567776.000000
2018			
 0-4	4987208.000000	2518063.000000	2469145.000000
 5-9	5082580.500000	2560319.750000	2522260.750000
 10-14 	5117285.500000	2571636.750000	2545648.750000
 15-19 	4937987.000000	2477179.500000	2460807.500000
 20-24 	4605991.500000	2304684.250000	2301307.250000
 25-29 	4665484.000000	2323751.250000	2341733.000000
 30-34 	4715650.000000	2356234.000000	2359416.000000
 35-39 	4233365.000000	2134292.500000	2099072.250000
 40-44 	3376246.000000	1717962.500000	1658283.500000
 45-49 	2696318.500000	1356749.000000	1339569.500000
 50-54 	2288261.250000	1093754.375000	1194506.875000
 55-59 	2064782.000000	901058.812500	1163723.125000
 60-64 	1814913.500000	734625.250000	1080288.250000
 65-69 	1383994.625000	523626.625000	860368.062500
 70-74 	955915.375000	331027.656250	624887.750000
 75-79 	588174.625000	181779.265625	406395.375000
 80+ 	501162.625000	131535.250000	369627.375000
Total	54015320.000000	26218280.000000	27797040.000000
2019			
 0-4	4957892.000000	2503788.000000	2454104.000000
 5-9	5066970.500000	2553080.500000	2513889.750000
 10-14 	5088292.000000	2557970.750000	2530321.500000
 15-19 	5026623.500000	2521668.500000	2504954.750000
 20-24 	4613722.000000	2309668.250000	2304053.750000
 25-29 	4631308.000000	2308260.000000	2323047.750000
 30-34 	4710440.500000	2350197.000000	2360243.250000
 35-39 	4344617.500000	2185885.500000	2158732.000000
 40-44 	3514191.250000	1784191.750000	1729999.625000
 45-49 	2772701.000000	1400531.625000	1372169.250000
 50-54 	2328441.250000	1124622.375000	1203818.875000
 55-59 	2060335.625000	911639.500000	1148696.125000
 60-64 	1837903.625000	746015.312500	1091888.250000
 65-69 	1427507.750000	540401.125000	887106.687500
 70-74 	981110.000000	339095.781250	642014.250000
 75-79 	614394.875000	189051.609375	425343.250000
 80+ 	514396.218750	133090.375000	381305.843750
Total	54490848.000000	26459158.000000	28031690.000000
2020			
 0-4	4935553.500000	2493043.500000	2442510.250000
 5-9	5041107.000000	2540625.500000	2500481.500000
 10-14 	5067884.500000	2548745.250000	2519139.250000
 15-19 	5090583.000000	2553882.250000	2536700.500000
 20-24 	4651163.500000	2329130.750000	2322032.750000
 25-29 	4605411.500000	2297336.500000	2308075.000000
 30-34 	4688127.500000	2336509.500000	2351618.000000
 35-39 	4438440.000000	2228934.000000	2209506.000000
 40-44 	3658799.000000	1853158.125000	1805641.000000
 45-49 	2867064.500000	1453110.875000	1413953.750000
 50-54 	2370366.000000	1153637.750000	1216728.250000
 55-59 	2061444.250000	925587.500000	1135856.750000
 60-64 	1853938.750000	756296.312500	1097642.375000
 65-69 	1467356.875000	555952.187500	911404.625000
 70-74 	1009790.500000	348614.218750	661176.250000
 75-79 	639972.750000	196210.062500	443762.687500
 80+ 	529999.250000	135394.000000	394605.250000
Total	54977004.000000	26706168.000000	28270834.000000
2021			
 0-4	4916281.500000	2483855.500000	2432426.000000
 5-9	5009940.000000	2525520.750000	2484419.250000
 10-14 	5061071.500000	2546322.500000	2514749.250000
 15-19 	5118640.000000	2568273.750000	2550365.750000
 20-24 	4720567.500000	2364264.250000	2356303.250000
 25-29 	4585930.000000	2289708.250000	2296222.000000
 30-34 	4656245.000000	2319220.750000	2337024.000000
 35-39 	4511667.000000	2261827.250000	2249839.750000
 40-44 	3804860.000000	1922620.000000	1882240.000000
 45-49 	2974288.750000	1507763.000000	1466525.750000
 50-54 	2418743.250000	1187263.000000	1231480.250000
 55-59 	2070804.750000	943557.687500	1127247.125000
 60-64 	1862578.125000	765648.125000	1096930.000000
 65-69 	1503616.750000	570299.625000	933317.187500
 70-74 	1042160.625000	359670.437500	682490.187500
 75-79 	663897.250000	202948.218750	460949.031250
 80+ 	548267.125000	138515.625000	409751.468750
Total	55469560.000000	26957278.000000	28512280.000000
2022			
 0-4	4899601.500000	2475968.500000	2423633.250000
 5-9	4974998.000000	2508507.000000	2466491.000000
 10-14 	5061603.000000	2547564.750000	2514038.250000
 15-19 	5116676.500000	2567784.500000	2548892.000000
 20-24 	4814186.000000	2411377.500000	2402808.500000
 25-29 	4571977.500000	2284579.000000	2287398.500000
 30-34 	4622322.000000	2302158.250000	2320163.750000
 35-39 	4563072.500000	2283897.000000	2279175.500000
 40-44 	3945748.500000	1989559.000000	1956189.375000
 45-49 	3091962.000000	1566125.125000	1525836.875000
 50-54 	2476007.000000	1223926.250000	1252080.750000
 55-59 	2090387.000000	965960.500000	1124426.500000
 60-64 	1864138.250000	774346.562500	1089791.750000
 65-69 	1536045.250000	583389.375000	952655.875000
 70-74 	1078605.250000	372431.750000	706173.500000
 75-79 	685284.812500	208993.406250	476291.437500
 80+ 	569321.625000	142473.609375	426848.031250
Total	55961936.000000	27209042.000000	28752894.000000
2023			
 0-4	4885660.500000	2469452.250000	2416208.500000
 5-9	4939439.500000	2491183.500000	2448256.000000
 10-14 	5065826.000000	2550528.500000	2515297.500000
 15-19 	5091827.000000	2556063.500000	2535763.750000
 20-24 	4916466.000000	2462785.500000	2453680.500000
 25-29 	4568069.000000	2284046.500000	2284022.250000
 30-34 	4592223.500000	2288089.250000	2304134.000000
 35-39 	4591192.000000	2294530.250000	2296661.750000
 40-44 	4075741.000000	2051152.125000	2024588.750000
 45-49 	3220008.750000	1628591.375000	1591417.500000
 50-54 	2541034.500000	1263020.000000	1278014.500000
 55-59 	2121116.000000	992810.687500	1128305.375000
 60-64 	1861419.000000	783298.500000	1078120.375000
 65-69 	1563780.250000	595170.562500	968609.625000
 70-74 	1117236.250000	386205.250000	731031.062500
 75-79 	705328.375000	214732.437500	490595.937500
 80+ 	592620.437500	147100.734375	445519.718750
Total	56448988.000000	27458760.000000	28990228.000000
2024			
 0-4	4874410.500000	2464281.500000	2410129.000000
 5-9	4913651.000000	2478715.500000	2434935.500000
 10-14 	5051459.000000	2543988.250000	2507470.750000
 15-19 	5067212.000000	2544803.250000	2522409.000000
 20-24 	5009132.000000	2509325.250000	2499807.000000
 25-29 	4583645.500000	2292922.500000	2290723.000000
 30-34 	4568109.000000	2277731.250000	2290378.000000
 35-39 	4595669.000000	2293853.500000	2301815.250000
 40-44 	4191197.500000	2105530.000000	2085667.250000
 45-49 	3356659.500000	1694606.000000	1662053.375000
 50-54 	2615688.250000	1305726.125000	1309962.125000
 55-59 	2160363.250000	1022372.375000	1137991.000000
 60-64 	1859019.125000	793846.750000	1065172.250000
 65-69 	1585895.750000	605761.687500	980134.000000
 70-74 	1154936.125000	399830.218750	755105.875000
 75-79 	726365.250000	220920.718750	505444.531250
 80+ 	617274.125000	152134.953125	465139.187500
Total	56930688.000000	27706350.000000	29224338.000000
2025			
 0-4	4865186.500000	2460122.250000	2405064.250000
 5-9	4893619.000000	2469220.500000	2424398.750000
 10-14 	5026215.000000	2531814.000000	2494401.000000
 15-19 	5050051.500000	2537403.500000	2512648.000000
 20-24 	5074249.500000	2542200.000000	2532049.750000
 25-29 	4624624.500000	2314122.000000	2310502.250000
 30-34 	4548438.500000	2269953.000000	2278485.750000
 35-39 	4580724.000000	2284268.000000	2296456.250000
 40-44 	4288116.000000	2150749.500000	2137366.500000
 45-49 	3498973.000000	1762847.000000	1736126.000000
 50-54 	2706628.000000	1356276.500000	1350351.500000
 55-59 	2200722.750000	1049961.750000	1150761.125000
 60-64 	1861226.500000	807161.000000	1054065.500000
 65-69 	1601580.000000	615325.375000	986254.687500
 70-74 	1189547.750000	412493.687500	777054.125000
 75-79 	750036.187500	228083.171875	521953.000000
 80+ 	642549.875000	157360.328125	485189.562500
Total	57402488.000000	27949362.000000	29453128.000000
2026			
 0-4	4857153.000000	2456563.000000	2400590.000000
 5-9	4876177.500000	2461097.500000	2415080.000000
 10-14 	4995104.000000	2516647.500000	2478456.500000
 15-19 	5045864.000000	2536450.500000	2509413.500000
 20-24 	5102145.500000	2556637.500000	2545508.000000
 25-29 	4694651.000000	2349553.750000	2345097.500000
 30-34 	4532458.000000	2264051.000000	2268407.250000
 35-39 	4554596.000000	2270147.500000	2284448.500000
 40-44 	4364193.000000	2185607.250000	2178586.000000
 45-49 	3642571.250000	1831465.125000	1811106.000000
 50-54 	2809652.500000	1408718.125000	1400934.250000
 55-59 	2246732.500000	1081656.000000	1165076.375000
 60-64 	1870718.500000	823917.000000	1046801.500000
 65-69 	1610570.500000	624077.000000	986493.500000
 70-74 	1221212.375000	424253.125000	796959.250000
 75-79 	776467.687500	236271.734375	540196.000000
 80+ 	668115.812500	162692.828125	505423.000000
Total	57868384.000000	28189806.000000	29678578.000000
2027			
 0-4	4852880.000000	2454888.250000	2397991.750000
 5-9	4861516.500000	2454385.000000	2407131.750000
 10-14 	4960208.500000	2499583.750000	2460625.000000
 15-19 	5047973.000000	2538576.750000	2509396.000000
 20-24 	5099949.000000	2556184.500000	2543764.250000
 25-29 	4787456.000000	2396279.250000	2391177.000000
 30-34 	4520542.000000	2259892.500000	2260649.500000
 35-39 	4525529.500000	2255693.750000	2269835.500000
 40-44 	4418793.000000	2209746.000000	2209047.000000
 45-49 	3781536.250000	1897795.250000	1883741.000000
 50-54 	2922758.250000	1464741.125000	1458017.000000
 55-59 	2300944.500000	1116108.625000	1184835.750000
 60-64 	1889444.625000	844557.500000	1044887.187500
 65-69 	1613248.500000	632301.875000	980946.562500
 70-74 	1249791.750000	435107.625000	814684.125000
 75-79 	805904.937500	245587.500000	560317.437500
 80+ 	693617.125000	168037.656250	525579.437500
Total	58332092.000000	28429466.000000	29902626.000000
2028			
 0-4	4850077.000000	2453933.250000	2396143.750000
 5-9	4850206.500000	2449349.250000	2400857.000000
 10-14 	4924969.000000	2482368.500000	2442600.500000
 15-19 	5052631.000000	2541826.750000	2510804.500000
 20-24 	5075499.500000	2544814.250000	2530685.250000
 25-29 	4888650.000000	2447204.750000	2441445.500000
 30-34 	4518140.000000	2260064.250000	2258075.750000
 35-39 	4499975.500000	2243978.750000	2255997.000000
 40-44 	4450982.000000	2222819.250000	2228162.500000
 45-49 	3910687.250000	1959294.250000	1951392.875000
 50-54 	3046247.250000	1524902.750000	1521344.500000
 55-59 	2362560.250000	1152876.500000	1209683.750000
 60-64 	1918348.625000	869152.875000	1049195.625000
 65-69 	1612122.250000	640774.187500	971348.125000
 70-74 	1274544.000000	445023.875000	829520.062500
 75-79 	836940.937500	255574.671875	581366.250000
 80+ 	719673.375000	173577.593750	546095.750000
Total	58792256.000000	28667536.000000	30124718.000000
2029			
 0-4	4844919.000000	2451776.250000	2393143.000000
 5-9	4842569.500000	2446155.250000	2396414.250000
 10-14 	4899384.500000	2469951.000000	2429433.500000
 15-19 	5038137.000000	2535296.250000	2502841.000000
 20-24 	5051823.500000	2534158.000000	2517665.250000
 25-29 	4980194.000000	2493284.500000	2486909.500000
 30-34 	4534611.000000	2269353.000000	2265258.250000
 35-39 	4479957.000000	2235667.250000	2244290.000000
 40-44 	4460309.500000	2224904.500000	2235405.000000
 45-49 	4026390.250000	2014104.125000	2012286.125000
 50-54 	3178532.500000	1588726.000000	1589806.375000
 55-59 	2433391.750000	1193066.750000	1240325.000000
 60-64 	1955047.750000	896166.125000	1058881.625000
 65-69 	1611190.500000	650582.125000	960608.375000
 70-74 	1294584.875000	454061.593750	840523.250000
 75-79 	867265.250000	265469.937500	601795.250000
 80+ 	747349.875000	179623.937500	567725.937500
Total	59245660.000000	28902346.000000	30343312.000000
2030			
 0-4	4838752.000000	2449075.750000	2389676.250000
