Workshop_1_Demo	Total	Male	Female
 10-14 	6315.176860	3718.661137	2596.515723
 15-19 	6788.223831	4111.408084	2676.815747
 20-24 	9299.931959	5226.676622	4073.255337
 25-29 	18489.047908	9126.959061	9362.088847
 30-34 	27112.267095	13506.393407	13605.873688
 35-39 	36930.741887	18997.316233	17933.425654
 40-44 	32889.865457	18308.915687	14580.949770
 45-49 	31655.222246	18241.025526	13414.196720
 50-54 	32647.548531	18984.624547	13662.923984
 55-59 	37852.624619	21129.919535	16722.705084
 60-64 	45135.813328	25371.523113	19764.290215
 65-69 	48419.687827	26111.145774	22308.542053
 70-74 	48846.666464	24299.676108	24546.990355
 75-79 	41379.193225	18472.893348	22906.299877
 80+ 	73835.046779	24631.719555	49203.327223
Total	551983.654021	281122.485646	270861.168375
2017			
 0-4	48000.517509	27205.120233	20795.397276
 5-9	4824.436122	2712.788103	2111.648019
 10-14 	6144.259934	3600.858149	2543.401785
 15-19 	6815.580143	4136.985869	2678.594274
 20-24 	8905.568273	5034.088505	3871.479769
 25-29 	17422.465465	8569.103465	8853.362000
 30-34 	26327.105527	12997.062285	13330.043242
 35-39 	36374.732800	18571.686079	17803.046720
 40-44 	33232.563135	18369.698584	14862.864551
 45-49 	31523.718153	18275.343836	13248.374317
 50-54 	32328.969535	19045.192566	13283.776970
 55-59 	37321.764861	21033.555504	16288.209357
 60-64 	45386.574111	25563.643766	19822.930345
 65-69 	49269.633971	26582.728937	22686.905034
 70-74 	49612.841296	24643.876791	24968.964505
 75-79 	42486.512082	18873.437273	23613.074809
 80+ 	74856.741187	24642.464522	50214.276665
Total	550833.990472	279857.639443	270976.351029
2018			
 0-4	46650.294476	26366.646801	20283.647675
 5-9	4595.636947	2571.460344	2024.176603
 10-14 	5802.259824	3389.059363	2413.200461
 15-19 	6757.075160	4113.492702	2643.582458
 20-24 	8357.236516	4804.864111	3552.372405
 25-29 	15710.053864	7812.414558	7897.639306
 30-34 	24117.272572	11936.517835	12180.754737
 35-39 	33907.431361	17350.632325	16556.799036
 40-44 	32187.843589	17805.187958	14382.655631
 45-49 	30597.628191	17913.682810	12683.945381
 50-54 	31599.390622	18916.091942	12683.298680
 55-59 	36392.474206	20802.882534	15589.591672
 60-64 	45290.631509	25613.214817	19677.416692
 65-69 	50104.311871	27080.819053	23023.492818
 70-74 	50164.601524	24900.503405	25264.098118
 75-79 	43766.896785	19383.334991	24383.561794
 80+ 	75989.268575	24684.983127	51304.285448
Total	541990.321921	275445.791433	266544.530487
2019			
 0-4	45267.191744	25509.955354	19757.236390
 5-9	4526.416009	2518.846713	2007.569296
 10-14 	5317.039448	3100.111420	2216.928027
 15-19 	6740.006518	4102.981309	2637.025209
 20-24 	7894.880998	4614.901040	3279.979958
 25-29 	14311.705395	7197.090324	7114.615071
 30-34 	22195.988964	11006.098741	11189.890223
 35-39 	32062.684171	16417.725185	15644.958986
 40-44 	31670.336471	17495.109910	14175.226561
 45-49 	30307.050692	17839.254847	12467.795846
 50-54 	31366.017855	18984.171346	12381.846509
 55-59 	35757.324772	20710.362998	15046.961774
 60-64 	45232.955381	25675.009550	19557.945831
 65-69 	50999.702639	27606.810017	23392.892622
 70-74 	50797.046997	25203.486497	25593.560499
 75-79 	45158.260180	19955.737400	25202.522780
 80+ 	77353.385071	24817.022524	52536.362547
Total	536957.998279	272754.676742	264203.321537
2020			
 0-4	43990.256458	24714.992491	19275.263967
 5-9	4433.454590	2479.505322	1953.949268
 10-14 	4797.516036	2789.663234	2007.852802
 15-19 	6798.219405	4116.972925	2681.246480
 20-24 	7590.223324	4491.471150	3098.752175
 25-29 	13328.404894	6743.406072	6584.998822
 30-34 	20769.185829	10266.166308	10503.019521
 35-39 	31052.821466	15817.800963	15235.020503
 40-44 	31824.884351	17472.557554	14352.326797
 45-49 	30729.548976	18095.969161	12633.579815
 50-54 	31508.939597	19168.184686	12340.754911
 55-59 	35467.010951	20777.504159	14689.506792
 60-64 	45203.158857	25756.187471	19446.971386
 65-69 	51854.693376	28099.951046	23754.742330
 70-74 	51631.831878	25613.800889	26018.030990
 75-79 	46531.784049	20525.067440	26006.716609
 80+ 	79039.898037	25079.146757	53960.751280
Total	536551.832069	272008.346985	264543.485084
2021			
 0-4	42677.272182	23909.946377	18767.325806
 5-9	4377.943109	2473.112418	1904.830692
 10-14 	4300.059904	2495.375062	1804.684842
 15-19 	6828.204248	4106.848061	2721.356187
 20-24 	7426.927065	4426.483080	3000.443985
 25-29 	12607.753105	6400.431209	6207.321896
 30-34 	19632.958124	9650.511807	9982.446316
 35-39 	30328.888336	15332.030670	14996.857666
 40-44 	32214.384883	17547.894574	14666.490310
 45-49 	31456.717250	18449.119801	13007.597449
 50-54 	31906.602549	19482.502079	12424.100470
 55-59 	35411.555195	20964.443518	14447.111678
 60-64 	45096.151333	25828.102389	19268.048944
 65-69 	52618.150789	28541.958558	24076.192231
 70-74 	52664.716810	26134.364525	26530.352286
 75-79 	47788.670207	21050.049850	26738.620357
 80+ 	81097.878594	25488.112230	55609.766365
Total	538434.831964	272281.288551	266153.543413
2022			
 0-4	41391.160848	23124.882093	18266.278755
 5-9	4289.232925	2446.641730	1842.591195
 10-14 	3950.253139	2286.327222	1663.925917
 15-19 	6535.233327	3924.120603	2611.112724
 20-24 	7358.503968	4401.504283	2956.999685
 25-29 	12006.842664	6115.694807	5891.147857
 30-34 	18557.946991	9075.857372	9482.089619
 35-39 	29462.926883	14782.301198	14680.625684
 40-44 	32443.718390	17546.250419	14897.467971
 45-49 	32204.801871	18794.291798	13410.510073
 50-54 	32414.492888	19833.932081	12580.560807
 55-59 	35514.866989	21235.515627	14279.351363
 60-64 	44848.115424	25871.707048	18976.408376
 65-69 	53240.942953	28912.094390	24328.848563
 70-74 	53910.610908	26775.479137	27135.131771
 75-79 	48845.150111	21494.619040	27350.531071
 80+ 	83545.314999	26045.960076	57499.354922
Total	540520.118797	272667.181806	267852.936991
2023			
 0-4	40162.105105	22374.055102	17788.050003
 5-9	4135.057035	2383.438907	1751.618128
 10-14 	3803.812577	2191.412912	1612.399664
 15-19 	6047.323811	3642.668206	2404.655605
 20-24 	7353.797488	4398.497257	2955.300231
 25-29 	11545.449456	5895.285210	5650.164245
 30-34 	17608.067228	8574.012209	9034.055018
 35-39 	28537.648320	14210.298019	14327.350301
 40-44 	32545.054701	17483.688246	15061.366455
 45-49 	33000.476481	19149.346475	13851.130006
 50-54 	33024.405680	20219.847059	12804.558621
 55-59 	35807.811548	21597.579256	14210.232293
 60-64 	44532.013519	25921.622089	18610.391429
 65-69 	53715.943709	29214.890215	24501.053494
 70-74 	55282.593502	27491.971592	27790.621910
 75-79 	49775.354080	21893.579809	27881.774271
 80+ 	86332.270232	26730.774906	59601.495326
Total	543209.192926	273372.971954	269836.220972
2024			
 0-4	38991.200251	21658.264006	17332.936244
 5-9	3978.617590	2318.798922	1659.818667
 10-14 	3783.726385	2165.957056	1617.769329
 15-19 	5485.598540	3330.086635	2155.511905
 20-24 	7379.463154	4401.633397	2977.829757
 25-29 	11227.387855	5739.986705	5487.401150
 30-34 	16774.685795	8143.851540	8630.834255
 35-39 	27523.587854	13611.404320	13912.183534
 40-44 	32480.823269	17348.491169	15132.332100
 45-49 	33775.981409	19490.309122	14285.672287
 50-54 	33721.334587	20645.995660	13075.338927
 55-59 	36235.317642	22012.226650	14223.090992
 60-64 	44245.526189	26022.142913	18223.383276
 65-69 	54030.763715	29460.789720	24569.973995
 70-74 	56613.420268	28198.521952	28414.898316
 75-79 	50734.502635	22319.339061	28415.163573
 80+ 	89337.365949	27497.317369	61840.048580
Total	546319.310162	274365.119330	271954.190832
2025			
 0-4	37872.468631	20972.670867	16899.797764
 5-9	3883.967046	2271.469162	1612.497884
 10-14 	3747.902434	2151.585272	1596.317162
 15-19 	5035.044278	3081.823206	1953.221072
 20-24 	7396.384618	4389.268224	3007.116394
 25-29 	11055.352938	5652.656573	5402.696366
 30-34 	16044.248016	7775.118952	8269.129064
 35-39 	26433.392945	12992.507900	13440.885045
 40-44 	32215.479859	17120.249037	15095.230823
 45-49 	34473.852436	19788.724350	14685.128086
 50-54 	34579.421294	21173.247179	13406.174115
 55-59 	36668.955861	22386.962704	14281.993157
 60-64 	44077.641273	26208.758315	17868.882958
