Vietnam	Total	Male	Female																																																																																																																																																																																																																																																							
1970																																																																																																																																																																																																																																																										
 55-59 	41614.430576	28650.996812	12963.433763
 60-64 	53549.736924	35215.762590	18333.974334
 65-69 	72387.995812	45459.819830	26928.175982
 70-74 	83125.896823	48685.810805	34440.086017
 75-79 	74011.123524	39194.887584	34816.235940
 80+ 	207362.146420	74735.099349	132627.047070
Total	672310.915668	370241.843530	302069.072139
2029			
 0-4	16985.300657	7889.107891	9096.192766
 5-9	2280.181339	1347.589597	932.591742
 10-14 	2089.478583	1334.957670	754.520913
 15-19 	3703.981891	2740.228604	963.753287
 20-24 	5931.382663	4589.824695	1341.557968
 25-29 	7901.321937	6056.850653	1844.471284
 30-34 	9857.179324	7497.741026	2359.438298
 35-39 	15353.720218	11462.264438	3891.455780
 40-44 	19806.432514	14608.684234	5197.748279
 45-49 	23875.396341	17453.531667	6421.864674
 50-54 	31001.869021	22168.283102	8833.585919
 55-59 	41561.400811	28541.830735	13019.570076
 60-64 	53485.971311	35116.948561	18369.022749
 65-69 	73254.920390	46050.997462	27203.922927
 70-74 	86416.176567	50677.369231	35738.807336
 75-79 	80818.207609	43122.488506	37695.719103
 80+ 	213698.841256	77581.916424	136116.924833
Total	688021.762431	378240.614497	309781.147934
2030			
 0-4	16552.382580	7673.140513	8879.242067
 5-9	2197.790405	1294.665557	903.124848
 10-14 	2012.582498	1282.019178	730.563320
 15-19 	3614.165806	2667.925140	946.240666
 20-24 	5867.974204	4534.760091	1333.214114
 25-29 	7883.508628	6034.170887	1849.337741
 30-34 	9481.866778	7195.507382	2286.359396
 35-39 	14634.334874	10910.657820	3723.677054
 40-44 	19853.429993	14625.632218	5227.797775
 45-49 	24124.989670	17612.171468	6512.818202
 50-54 	31078.387455	22180.569455	8897.818000
 55-59 	41398.796489	28351.011257	13047.785232
 60-64 	53527.403432	35096.882414	18430.521018
 65-69 	73952.009753	46535.343219	27416.666534
 70-74 	89253.207951	52421.137977	36832.069973
 75-79 	87534.886864	46987.713188	40547.173675
 80+ 	222236.073710	81504.928148	140731.145562
Total	705203.791088	386908.235912	318295.555176
2031			
 0-4	16156.553901	7481.095418	8675.458482
 5-9	2122.522938	1247.853391	874.669547
 10-14 	1940.406778	1232.726840	707.679937
 15-19 	3521.566442	2593.627573	927.938869
 20-24 	5785.642136	4465.471965	1320.170171
 25-29 	7880.141655	6024.229309	1855.912346
 30-34 	9211.533369	6973.750431	2237.782938
 35-39 	13827.944606	10295.324976	3532.619630
 40-44 	19801.120354	14570.836438	5230.283916
 45-49 	24351.948028	17755.082577	6596.865451
 50-54 	31240.064967	22261.219170	8978.845797
 55-59 	41315.448987	28226.768319	13088.680668
 60-64 	53459.704758	34991.512185	18468.192574
 65-69 	74455.641235	46882.244373	27573.396862
 70-74 	91664.582825	53944.691464	37719.891362
 75-79 	93697.917008	50513.568242	43184.348766
 80+ 	233755.891050	86875.469496	146880.421554
Total	724188.631036	396335.472166	327853.158870
2032			
 0-4	15794.661079	7302.316967	8492.344112
 5-9	2054.296876	1204.483281	849.813595
 10-14 	1867.778994	1183.179469	684.599525
 15-19 	3426.656816	2518.500932	908.155884
 20-24 	5692.112429	4386.289497	1305.822933
 25-29 	7878.157509	6016.811607	1861.345901
 30-34 	9044.885923	6834.515565	2210.370358
 35-39 	13029.673834	9689.238615	3340.435219
 40-44 	19568.707536	14386.331944	5182.375591
 45-49 	24560.308153	17886.387230	6673.920922
 50-54 	31496.480833	22415.277120	9081.203713
 55-59 	41209.684041	28093.449438	13116.234603
 60-64 	53395.513731	34886.597307	18508.916424
 65-69 	74856.380091	47152.701943	27703.678148
 70-74 	93684.565929	55260.184773	38424.381156
 75-79 	99288.317081	53711.878984	45576.438097
 80+ 	247649.941242	93367.241539	154282.699703
Total	744498.122098	406295.386211	338202.735886
2033			
 0-4	15455.952164	7132.726551	8323.225614
 5-9	1996.705510	1167.184569	829.520941
 10-14 	1801.372247	1138.125300	663.246947
 15-19 	3328.418296	2440.761306	887.656990
 20-24 	5589.100189	4300.886981	1288.213209
 25-29 	7865.324421	6002.986771	1862.337650
 30-34 	8965.115949	6764.088539	2201.027411
 35-39 	12302.954941	9138.249027	3164.705914
 40-44 	19120.597547	14045.323441	5075.274105
 45-49 	24750.753730	18006.952616	6743.801115
 50-54 	31825.262767	22624.742290	9200.520477
 55-59 	41133.083429	27990.600961	13142.482468
 60-64 	53351.196383	34791.990107	18559.206276
 65-69 	75112.374817	47314.452005	27797.922813
 70-74 	95350.869868	56378.711356	38972.158512
 75-79 	104322.193406	56609.175736	47713.017671
 80+ 	263704.235029	100854.538667	162849.696362
Total	765975.510694	416701.496221	349274.014473
2034			
 0-4	15128.773267	6970.635862	8158.137404
 5-9	1945.344091	1134.329388	811.014703
 10-14 	1739.480792	1095.299481	644.181312
 15-19 	3225.715214	2360.587141	865.128074
 20-24 	5478.493561	4209.239797	1269.253765
 25-29 	7830.842597	5971.768386	1859.074211
 30-34 	8925.008446	6727.057813	2197.950633
 35-39 	11709.869602	8687.786070	3022.083532
 40-44 	18456.283059	13547.559453	4908.723607
 45-49 	24897.245025	18097.319964	6799.925061
 50-54 	32179.500383	22856.572055	9322.928328
 55-59 	41134.854315	27951.823612	13183.030703
 60-64 	53379.186720	34754.225259	18624.961461
 65-69 	75174.472286	47324.807685	27849.664601
 70-74 	96742.344954	57339.524790	39402.820164
 75-79 	108814.505672	59227.945811	49586.559861
 80+ 	281673.025790	109204.762911	172468.262879
Total	788434.945775	427461.245475	360973.700299
2035			
 0-4	14818.363326	6820.108712	7998.254614
 5-9	1898.358329	1103.865389	794.492940
 10-14 	1681.080058	1055.710720	625.369338
 15-19 	3121.004496	2280.189792	840.814704
 20-24 	5364.733355	4114.812752	1249.920603
 25-29 	7767.416982	5917.612593	1849.804389
 30-34 	8919.484271	6719.626814	2199.857457
 35-39 	11272.009611	8352.776513	2919.233097
 40-44 	17602.231847	12910.842403	4691.389444
 45-49 	24971.053434	18136.669410	6834.384025
 50-54 	32540.818552	23096.126613	9444.691939
 55-59 	41255.871534	28002.961717	13252.909818
 60-64 	53283.596329	34628.798048	18654.798281
 65-69 	75411.275064	47454.783195	27956.491869
 70-74 	97932.519611	58179.999550	39752.520061
 75-79 	112777.644654	61584.765680	51192.878974
 80+ 	301212.817904	118251.218359	182961.599544
Total	811830.279357	438610.868260	373219.411097
2036			
 0-4	14519.950872	6676.475109	7843.475763
 5-9	1857.143733	1078.348368	778.795365
 10-14 	1626.883360	1018.969498	607.913862
 15-19 	3015.951256	2199.357652	816.593604
 20-24 	5242.184247	4014.029049	1228.155198
 25-29 	7682.527284	5846.879761	1835.647523
 30-34 	8929.945622	6725.895828	2204.049794
 35-39 	10964.821111	8114.659401	2850.161710
 40-44 	16643.862417	12199.102418	4444.759999
 45-49 	24923.839562	18091.492108	6832.347454
 50-54 	32882.329276	23322.152968	9560.176308
 55-59 	41493.602186	28144.718039	13348.884146
 60-64 	53284.050887	34583.142326	18700.908561
 65-69 	75489.379996	47459.214722	28030.165273
 70-74 	98871.696381	58848.827451	40022.868930
 75-79 	116220.367821	63699.527041	52520.840781
 80+ 	321631.582604	127649.855099	193981.727505
Total	835280.118614	449672.646839	385607.471776
2037			
 0-4	14230.045318	6539.723144	7690.322174
 5-9	1819.050343	1055.022541	764.027802
 10-14 	1579.370274	987.492863	591.877410
 15-19 	2915.551406	2123.007749	792.543657
 20-24 	5114.320998	3909.400802	1204.920196
 25-29 	7578.114074	5760.516127	1817.597947
 30-34 	8936.705742	6730.672946	2206.032796
 35-39 	10775.360374	7967.734546	2807.625828
 40-44 	15685.737050	11488.472446	4197.264604
 45-49 	24649.951831	17883.776407	6766.175424
 50-54 	33195.561748	23531.772539	9663.789209
 55-59 	41852.222483	28376.280854	13475.941629
 60-64 	53256.712590	34525.253851	18731.458740
 65-69 	75556.628315	47457.719762	28098.908553
 70-74 	99674.729637	59423.291207	40251.438431
 75-79 	119173.375385	65580.797642	53592.577743
 80+ 	342623.502637	137298.110316	205325.392321
Total	858616.940205	460639.045743	397977.894463
2038			
 0-4	13945.125314	6407.971487	7537.153827
 5-9	1782.745547	1032.417522	750.328025
 10-14 	1537.389641	959.079669	578.309972
 15-19 	2817.667646	2048.018589	769.649057
 20-24 	4979.306244	3799.480960	1179.825284
 25-29 	7458.343455	5661.264325	1797.079129
