Workshop_1_Demo	Total	Male	Female
 10-14 	4740799.803576	2375845.852544	2364953.951032
 15-19 	4441664.764698	2211219.098548	2230445.666151
 20-24 	4098243.627172	2035559.172968	2062684.454204
 25-29 	3646427.871024	1813876.745318	1832551.125706
 30-34 	3119418.951498	1556911.174993	1562507.776504
 35-39 	2729364.799428	1342379.464376	1386985.335052
 40-44 	2368685.809389	1146179.734472	1222506.074918
 45-49 	1922238.557671	919144.319566	1003094.238105
 50-54 	1570885.866068	741630.690619	829255.175449
 55-59 	1254868.733705	581746.643774	673122.089931
 60-64 	946066.790700	431854.078543	514212.712157
 65-69 	659433.501296	293281.274983	366152.226313
 70-74 	417536.531265	169803.947848	247732.583417
 75-79 	243452.277833	86414.648425	157037.629408
 80+ 	169972.670307	49598.124882	120374.545425
Total	42057579.692187	20651816.095646	21405763.596542
1997			
 0-4	4883580.952530	2462616.358055	2420964.594475
 5-9	4798721.006941	2409515.398420	2389205.608521
 10-14 	4774292.627856	2391760.113612	2382532.514245
 15-19 	4526629.775557	2252573.408028	2274056.367529
 20-24 	4186753.304667	2083232.627563	2103520.677105
 25-29 	3718415.766164	1863921.885071	1854493.881093
 30-34 	3181691.055186	1600811.755254	1580879.299931
 35-39 	2780057.674748	1368349.956282	1411707.718467
 40-44 	2460313.769708	1179139.286608	1281174.483100
 45-49 	2033106.933120	957797.309444	1075309.623676
 50-54 	1646939.427460	765741.027907	881198.399553
 55-59 	1322818.735331	605242.365987	717576.369345
 60-64 	987701.642171	444901.918530	542799.723641
 65-69 	685438.077171	302149.141499	383288.935672
 70-74 	428694.771005	175411.149683	253283.621323
 75-79 	245651.395211	87853.333803	157798.061407
 80+ 	170375.438666	50694.328473	119681.110192
Total	42831182.353495	21001711.364219	21829470.989275
1998			
 0-4	4857800.667374	2449542.445423	2408258.221951
 5-9	4771254.237937	2394896.995379	2376357.242558
 10-14 	4791689.099902	2399273.004309	2392416.095593
 15-19 	4605644.615555	2291579.796903	2314064.818651
 20-24 	4266991.483482	2127493.835561	2139497.647921
 25-29 	3777839.941925	1910115.968112	1867723.973813
 30-34 	3233065.104673	1641861.059762	1591204.044911
 35-39 	2816238.389832	1390471.013815	1425767.376017
 40-44 	2536661.482401	1205811.441279	1330850.041121
 45-49 	2142353.141035	994834.119421	1147519.021614
 50-54 	1726202.339829	789908.962388	936293.377440
 55-59 	1392018.803688	628175.737606	763843.066082
 60-64 	1032134.790443	458442.709375	573692.081068
 65-69 	712554.904085	310535.870112	402019.033972
 70-74 	440886.420164	180916.202368	259970.217797
 75-79 	248007.599628	89432.105006	158575.494621
 80+ 	170583.157003	51746.522925	118836.634078
Total	43521926.178955	21315037.789745	22206888.389210
1999			
 0-4	4840133.948958	2440485.299104	2399648.649854
 5-9	4741004.595385	2379296.680686	2361707.914699
 10-14 	4797452.339492	2400950.107170	2396502.232322
 15-19 	4677184.526173	2327293.123779	2349891.402394
 20-24 	4345853.855782	2169628.855891	2176224.999891
 25-29 	3840513.742698	1956420.409349	1884093.333350
 30-34 	3275966.986288	1676141.566563	1599825.419725
 35-39 	2845092.518065	1412190.689010	1432901.829055
 40-44 	2593760.385169	1226668.513997	1367091.871172
 45-49 	2240270.807112	1028249.429940	1212021.377171
 50-54 	1803948.784681	814027.842457	989920.942224
 55-59 	1457609.399663	649561.196830	808048.202834
 60-64 	1078839.149329	472903.677685	605935.471644
 65-69 	741932.356069	319260.714159	422671.641911
 70-74 	456688.568629	187174.399545	269514.169084
 75-79 	253811.054460	92189.283264	161621.771197
 80+ 	172835.002216	53214.972613	119620.029604
Total	44162898.020172	21605656.762042	22557241.258130
2000			
 0-4	4838994.671003	2439707.705969	2399286.965035
 5-9	4711330.755962	2364555.506932	2346775.249030
 10-14 	4794607.414214	2398584.170062	2396023.244151
 15-19 	4741121.988385	2359331.698687	2381790.289697
 20-24 	4428858.301399	2211428.968539	2217429.332861
