Workshop_1_Demo	Total	Male	Female
 55-59 	22171.094649	13489.725121	8681.369528
 60-64 	25941.386283	15988.586500	9952.799782
 65-69 	27144.406824	16148.247164	10996.159660
 70-74 	25336.277561	13562.965685	11773.311876
 75-79 	21043.583662	9880.419255	11163.164407
 80+ 	27579.722878	9314.979571	18264.743308
Total	328253.211094	183400.462811	144852.748283
1995			
 0-4	71932.076548	40212.024269	31720.052280
 5-9	4638.791531	2998.828569	1639.962962
 10-14 	3767.969265	2559.625733	1208.343532
 15-19 	6788.349364	3902.881809	2885.467555
 20-24 	10971.653905	6166.136936	4805.516970
 25-29 	13536.796559	7356.097620	6180.698939
 30-34 	13362.650248	7484.401303	5878.248945
 35-39 	15384.341632	8764.813829	6619.527803
 40-44 	16435.747162	9719.307027	6716.440135
 45-49 	17881.465524	10654.663896	7226.801628
 50-54 	21110.309231	12874.391531	8235.917700
 55-59 	23569.140522	14185.288845	9383.851677
 60-64 	27152.424048	16613.745289	10538.678759
 65-69 	28298.589323	16858.076428	11440.512895
 70-74 	26125.772918	14080.382450	12045.390469
 75-79 	21677.860478	10205.983258	11471.877221
 80+ 	28411.480872	9671.764352	18739.716520
Total	351045.419131	194308.413141	156737.005990
1996			
 0-4	75916.083301	42125.955847	33790.127453
 5-9	4620.293135	2971.203142	1649.089993
 10-14 	3720.876894	2529.601323	1191.275571
 15-19 	7243.385452	4000.061255	3243.324197
 20-24 	12573.003709	6751.829242	5821.174467
 25-29 	16631.897520	8666.904545	7964.992975
 30-34 	16320.919616	8873.055616	7447.864000
 35-39 	18713.615111	10361.956679	8351.658432
 40-44 	19282.371487	11062.241694	8220.129793
 45-49 	20493.924690	11843.973754	8649.950936
 50-54 	23076.323055	13735.735507	9340.587548
 55-59 	25238.771820	14948.560912	10290.210907
 60-64 	28407.511905	17197.997951	11209.513954
 65-69 	29430.617953	17481.126507	11949.491446
 70-74 	26894.701128	14597.230845	12297.470283
 75-79 	22023.664771	10430.024315	11593.640456
 80+ 	28784.919409	9944.520322	18840.399086
Total	379372.880955	207521.979456	171850.901499
1997			
 0-4	80387.797336	44321.465652	36066.331684
 5-9	4643.377727	2966.731411	1676.646317
 10-14 	3664.668767	2493.211931	1171.456836
 15-19 	7727.547693	4095.683053	3631.864640
 20-24 	14450.698602	7418.628393	7032.070209
 25-29 	20695.718787	10379.323849	10316.394938
 30-34 	20360.960324	10768.483779	9592.476545
 35-39 	23239.003365	12515.122298	10723.881067
 40-44 	23128.925324	12832.435164	10296.490160
 45-49 	24104.357521	13437.079113	10667.278408
 50-54 	25692.565788	14822.012117	10870.553671
 55-59 	27343.216678	15861.347787	11481.868891
 60-64 	29862.101657	17840.017285	12022.084372
 65-69 	30572.885664	18049.411963	12523.473701
 70-74 	27625.054315	15078.446502	12546.607813
 75-79 	22192.145822	10594.975509	11597.170313
 80+ 	28788.803756	10141.319008	18647.484748
Total	414479.829127	223615.694814	190864.134313
1998			
 0-4	84759.475592	46563.377282	38196.098310
 5-9	4755.999148	2976.119536	1779.879612
 10-14 	3574.036218	2441.490978	1132.545240
 15-19 	8178.517971	4157.890554	4020.627417
 20-24 	16588.665457	8096.543505	8492.121951
 25-29 	25644.667285	12450.441164	13194.226121
 30-34 	25497.914221	13173.399187	12324.515034
 35-39 	28938.262106	15227.426257	13710.835849
 40-44 	27917.328051	15009.604608	12907.723443
 45-49 	28650.117162	15405.592066	13244.525096
 50-54 	28899.190353	16119.619826	12779.570528
 55-59 	29737.857861	16867.556067	12870.301794
 60-64 	31433.769227	18525.283272	12908.485954
 65-69 	31646.410563	18559.913235	13086.497328
 70-74 	28248.396110	15507.058832	12741.337279
 75-79 	22151.351797	10700.907660	11450.444137
 80+ 	28520.405422	10281.590748	18238.814674
Total	455142.364543	242063.814777	213078.549766
1999			
 0-4	88834.181121	48748.391135	40085.789985
 5-9	4998.877890	3011.100742	1987.777149
 10-14 	3486.974497	2386.495044	1100.479453
 15-19 	8560.541313	4178.000229	4382.541084
 20-24 	18770.492621	8731.978218	10038.514402
 25-29 	31429.421920	14840.865527	16588.556393
 30-34 	31688.359925	16023.234235	15665.125690
 35-39 	35773.811156	18489.574326	17284.236830
 40-44 	33517.243234	17549.984299	15967.258935
 45-49 	33966.770468	17689.640126	16277.130342
 50-54 	32585.418643	17602.229479	14983.189164
 55-59 	32287.415378	17920.920394	14366.494984
 60-64 	33100.386984	19264.456649	13835.930336
 65-69 	32709.590014	19068.446208	13641.143806
 70-74 	28917.988295	15959.119048	12958.869247
 75-79 	22220.526043	10891.850477	11328.675566
 80+ 	28375.549688	10462.693488	17912.856200
Total	501223.549190	262818.979624	238404.569566
2000			
 0-4	92883.439720	50946.619490	41936.820230
 5-9	5348.399339	3100.970589	2247.428750
 10-14 	3539.355684	2351.733333	1187.622351
 15-19 	8873.534603	4174.918011	4698.616591
 20-24 	20874.773718	9308.367033	11566.406686
